occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
8,20613324,B,,,,
9,20613324,C,,,,
10,20613324,D,,,,
1,20614477,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20614477,A,SHARP CHANGE IN PRICES(FERTILIZER),SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,20614477,B,LOSS OF KEY SOCIAL SERVICES,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
4,20614477,C,,,,
5,20614477,D,,,,
6,20614477,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20614477,A,DEVELOPMENT PROJECT (PRIMARY SCHOOL,DEVELOPMENT PROJECT,2010,ALMOST ALL
8,20614477,B,,,,
9,20614477,C,,,,
10,20614477,D,,,,
1,20615064,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20615064,A,POOR RAINS,DROUGHT,2012,ALMOST ALL
3,20615064,B,POOR PRICES OF CROPS SUCH AS,OTHER BAD (SPECIFY),2011,ALMOST ALL
4,20615064,C,HIGH PRICES FOR COMMODITIES E.G.FOO,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20615064,D,LACK OF FOOD AT HOUSEHOLD LEVELS,DROUGHT,2012,ALMOST ALL
6,20615064,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20615064,A,HIGH PRICES OF TOBACCO AT AUCTION,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,20615064,B,WATER BOREHOLES,OTHER GOOD (SPECIFY),2012,1/4
9,20615064,C,MAINTANANCE OF SMALL ROADS BY MASFA,DEVELOPMENT PROJECT,2012,1/4
10,20615064,D,,,,
1,20615735,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20615735,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,20615735,B,,,,
4,20615735,C,,,,
5,20615735,D,,,,
6,20615735,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20615735,A,,,,
8,20615735,B,NONE,DROUGHT,2012,ALMOST NONE
9,20615735,C,,,,
10,20615735,D,,,,
1,20702471,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20702471,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,20702471,B,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2011,ALMOST ALL
4,20702471,C,LACK OF FARM INPUTS,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,20702471,D,,,,
6,20702471,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20702471,A,DEVELOPMENT PROJECTS{BOREHOLES},DEVELOPMENT PROJECT,2012,ALMOST ALL
8,20702471,B,,,,
9,20702471,C,,,,
10,20702471,D,,,,
1,20704738,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20704738,A,NO PROPER MARKERT FOR FARM PRODUCE,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,20704738,B,NO SAFE DRINKING WATER PEOPLE STILL,OTHER BAD (SPECIFY),2012,ALMOST ALL
4,20704738,C,NO BRIDGE AT MAME RIVER WHICH MAKES,OTHER BAD (SPECIFY),2011,ALMOST ALL
5,20704738,D,LACKY OF FARMER IMPUTS,OTHER BAD (SPECIFY),2013,ALMOST ALL
6,20704738,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20704738,A,RIVER OF TOBACCO AT AUCTION ARE GOO,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,20704738,B,GOOD RAINS RESULTED IN GOOD HARVEST,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,20704738,C,,,,
10,20704738,D,,,,
1,20705372,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20705372,A,OUTBREAK OF SMALL POX CHIKUKU,OTHER BAD (SPECIFY),2012,3/4
3,20705372,B,LACKY OF PROPER MARKET TO SELL AGRI,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,20705372,C,LACKY OF GOOD RAINS(ERATIC),OTHER BAD (SPECIFY),2013,ALMOST ALL
5,20705372,D,HIGH PRICES OF AGRICULTURE INPUTS,SHARP CHANGE IN PRICES,2013,ALMOST ALL
6,20705372,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20705372,A,GOODHAVEST OF GROUNDNUTS IN THE ARE,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,20705372,B,NEW SCHOOL IN THE AREA,NEW EMPLOYMENT OPPORTUNITIES,2012,ALMOST ALL
9,20705372,C,MORE MAIZEMILL IN THE AREA,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,20705372,D,,,,
1,20706163,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20706163,A,LACK OF HOSPITAL WHERE WOMEN CAN DE,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,20706163,B,RAPING CHILDREN BY MEN IN THE AREA,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,20706163,C,HIGH CRIME RATE IN THE AREA UMBANDA,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,20706163,D,HIGH COST OF LIFE AND POOR MARKETS,SHARP CHANGE IN PRICES,2013,ALMOST ALL
6,20706163,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20706163,A,GOOD PRICES OF TOBACCO AT THE AUCTI,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,20706163,B,OPENING OF COMMUNITY SECONDARY SCHO,NEW SCHOOL,2011,ALMOST ALL
9,20706163,C,,,,
10,20706163,D,,,,
1,20801046,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20801046,A,TOO MUCH RAIN,FLOOD,2011,ALMOST ALL
3,20801046,B,,,,
4,20801046,C,,,,
5,20801046,D,,,,
6,20801046,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20801046,A,ROAD MAINTAINANCE,OTHER GOOD (SPECIFY),2012,1/4
8,20801046,B,,,,
9,20801046,C,,,,
10,20801046,D,,,,
1,20802019,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20802019,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20802019,B,CHIFUWA,HUMAN EPIDEMIC DISEASE,2012,3/4
4,20802019,C,,,,
5,20802019,D,,,,
6,20802019,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20802019,A,NONE,,,
8,20802019,B,,,,
9,20802019,C,,,,
10,20802019,D,,,,
1,20803156,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20803156,A,FLOOD,FLOOD,2013,ALMOST ALL
3,20803156,B,LACK OF FARM IMPUTS,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,20803156,C,,,,
5,20803156,D,,,,
6,20803156,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20803156,A,NONE,,,
8,20803156,B,,,,
9,20803156,C,,,,
10,20803156,D,,,,
1,20804405,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20804405,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20804405,B,,,,
4,20804405,C,,,,
5,20804405,D,,,,
6,20804405,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20804405,A,SCHOOL BLOCK,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20804405,B,,,,
9,20804405,C,,,,
10,20804405,D,,,,
1,20804768,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20804768,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20804768,B,,,,
4,20804768,C,,,,
5,20804768,D,,,,
6,20804768,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20804768,A,,,,
8,20804768,B,,,,
9,20804768,C,,,,
10,20804768,D,,,,
1,20806131,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20806131,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20806131,B,,,,
4,20806131,C,,,,
5,20806131,D,,,,
6,20806131,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20806131,A,NEW TYPE OF IRISH POTATO(VAILET),OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,20806131,B,,,,
9,20806131,C,,,,
10,20806131,D,,,,
1,20807727,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20807727,A,FLOOD,FLOOD,2012,ALMOST ALL
3,20807727,B,LOW PRICES OF FARM PROUDUCES,,2012,ALMOST ALL
4,20807727,C,,,,
5,20807727,D,,,,
6,20807727,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20807727,A,FOOD SUPPLY,OTHER GOOD (SPECIFY),2013,1/4
8,20807727,B,,,,
9,20807727,C,,,,
10,20807727,D,,,,
1,20808421,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20808421,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20808421,B,,,,
4,20808421,C,,,,
5,20808421,D,,,,
6,20808421,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20808421,A,NEW SCHOOL BLOCK,NEW SCHOOL,2012,ALMOST ALL
8,20808421,B,,,,
9,20808421,C,,,,
10,20808421,D,,,,
1,20903583,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20903583,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,20903583,B,FLOOD,FLOOD,2012,ALMOST ALL
4,20903583,C,,,,
5,20903583,D,,,,
6,20903583,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20903583,A,SUBSIDY,OTHER GOOD (SPECIFY),2013,1/4
8,20903583,B,MICROLOAN,OTHER GOOD (SPECIFY),2013,ALMOST NONE
9,20903583,C,,,,
10,20903583,D,,,,
1,20906524,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20906524,A,,,,
3,20906524,B,,,,
4,20906524,C,,,,
5,20906524,D,,,,
6,20906524,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20906524,A,,,,
8,20906524,B,,,,
9,20906524,C,,,,
10,20906524,D,,,,
1,20906605,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20906605,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20906605,B,SHARP PRICE CHANGES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
4,20906605,C,,,,
5,20906605,D,,,,
6,20906605,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20906605,A,,,,
8,20906605,B,NONE,,,
9,20906605,C,,,,
10,20906605,D,,,,
1,20908088,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20908088,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20908088,B,FLOOD,FLOOD,2013,ALMOST ALL
4,20908088,C,,,,
5,20908088,D,,,,
6,20908088,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20908088,A,FOOD SUPPLY,OTHER GOOD (SPECIFY),2012,1/4
8,20908088,B,,,,
9,20908088,C,,,,
10,20908088,D,,,,
1,20908119,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20908119,A,FLOOD,FLOOD,2013,3/4
3,20908119,B,WIND,OTHER GOOD (SPECIFY),2012,3/4
4,20908119,C,,,,
5,20908119,D,,,,
6,20908119,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20908119,A,,,,
8,20908119,B,,,,
9,20908119,C,,,,
10,20908119,D,,,,
1,20909113,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20909113,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20909113,B,TOO MUCH RAIN AT THE END OF RAIN SE,FLOOD,2013,ALMOST ALL
4,20909113,C,,,,
5,20909113,D,,,,
6,20909113,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20909113,A,GOOD COTTON PRICES,SHARP CHANGE IN PRICES,2013,1/4
8,20909113,B,,,,
9,20909113,C,,,,
10,20909113,D,,,,
1,21037030,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21037030,A,SHARP CHANGE IN PRICE,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,21037030,B,HUMAN EPIDEMIC DISEASE (HIV & AIDS),HUMAN EPIDEMIC DISEASE,2010,ALMOST ALL
4,21037030,C,,,,
5,21037030,D,,,,
6,21037030,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21037030,A,,,,
8,21037030,B,,,,
9,21037030,C,,,,
10,21037030,D,,,,
1,21037536,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21037536,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,21037536,B,FLOOD,FLOOD,2011,1/4
4,21037536,C,DROUGHT,DROUGHT,2011,3/4
5,21037536,D,MASSIVE JOB LAY-OFFS,MASSIVE JOB LAY-OFFS,2010,1/2
6,21037536,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21037536,A,NEW ROOM FOR THE HEALTH CENTRE,NEW HEALTH FACILITY,2009,ALMOST ALL
8,21037536,B,NEW SCHOOL BLOCK,NEW SCHOOL,2012,ALMOST ALL
9,21037536,C,NEW BRIDGE,IMPROVED TRANSPORTATION,2012,ALMOST ALL
10,21037536,D,,,,
1,21048764,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21048764,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,21048764,B,,,,
4,21048764,C,,,,
5,21048764,D,,,,
6,21048764,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21048764,A,PUBLIC WORKS,DEVELOPMENT PROJECT,2010,ALMOST ALL
8,21048764,B,NEW HEALTH FACILITY (PVT),NEW HEALTH FACILITY,2012,ALMOST ALL
9,21048764,C,,,,
10,21048764,D,,,,
1,21051203,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21051203,A,DROUGHT,OTHER GOOD (SPECIFY),2012,ALMOST ALL
3,21051203,B,FANCE AT CHILINDE SCHOOL NOT COPLET,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,21051203,C,LACK OF MONEY(SHAPR IN PRICE),SHARP CHANGE IN PRICES,2010,ALMOST ALL
5,21051203,D,,,,
6,21051203,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21051203,A,DEVELOPMENT PROJECT (WATER KIOSK),DEVELOPMENT PROJECT,2012,ALMOST ALL
8,21051203,B,,,,
9,21051203,C,,,,
10,21051203,D,,,,
1,21052427,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21052427,A,FLOOD,FLOOD,2012,ALMOST ALL
3,21052427,B,LOSS  OF KEY SOCIA SERVICES,LOSS OF KEY SOCIAL SERVICE (S),1994,ALMOST ALL
4,21052427,C,HUMAN EPIDEMIC DISEASE DUE TO WASTE,HUMAN EPIDEMIC DISEASE,1994,ALMOST ALL
5,21052427,D,,,,
6,21052427,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21052427,A,LIGHT HOUSE WHICH PROVIDES ARV + FO,NEW HEALTH FACILITY,2001,ALMOST ALL
8,21052427,B,,,,
9,21052427,C,,,,
10,21052427,D,,,,
1,21053745,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21053745,A,SHARP CHANGE IN PRICE,SHARP CHANGE IN PRICES,2010,ALMOST NONE
3,21053745,B,MASSIVE JOB LAY OFFS (NO JOBS AVAIL,MASSIVE JOB LAY-OFFS,2010,ALMOST NONE
4,21053745,C,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2010,ALMOST NONE
5,21053745,D,,,,
6,21053745,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21053745,A,SCHOOL /EARLY CHILDHOOD /PRIMARY/,OTHER GOOD (SPECIFY),2010,ALMOST NONE
8,21053745,B,,,,
9,21053745,C,,,,
10,21053745,D,,,,
1,21055241,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21055241,A,SHARP CHANGES IN PRICE,SHARP CHANGE IN PRICES,2010,ALMOST NONE
3,21055241,B,LOSS OF  JOBS,MASSIVE JOB LAY-OFFS,2010,ALMOST NONE
4,21055241,C,SECURITY(TRANSPORTATION),OTHER BAD (SPECIFY),2010,ALMOST NONE
5,21055241,D,DROUGHT (CORRUPTION),DROUGHT,2010,ALMOST NONE
6,21055241,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21055241,A,TECHNOLOGY,OTHER GOOD (SPECIFY),2010,ALMOST NONE
8,21055241,B,DEVELOPMENT PROJECTS (NEQW HOUSES),DEVELOPMENT PROJECT,2010,ALMOST NONE
9,21055241,C,,,,
10,21055241,D,,,,
1,21055693,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21055693,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,21055693,B,NO INCREMENT IN SALARIES,DEVELOPMENT PROJECT,2012,ALMOST ALL
4,21055693,C,,,,
5,21055693,D,,,,
6,21055693,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21055693,A,,,,
8,21055693,B,,,,
9,21055693,C,,,,
10,21055693,D,,,,
1,21066096,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21066096,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,21066096,B,,,,
4,21066096,C,,,,
5,21066096,D,,,,
6,21066096,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21066096,A,WATER PROJECTS,DEVELOPMENT PROJECT,2010,ALMOST ALL
8,21066096,B,,,,
9,21066096,C,,,,
10,21066096,D,,,,
1,21066339,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21066339,A,,,,
3,21066339,B,SHARP CHARGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
4,21066339,C,,,,
5,21066339,D,,,,
6,21066339,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21066339,A,,,,
8,21066339,B,WATER DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2012,3/4
9,21066339,C,,,,
10,21066339,D,,,,
1,21074510,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21074510,A,CHANGES IN PRICE,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,21074510,B,SHORTAGE OF FOOD DUT TO INSAFFIGENT,OTHER BAD (SPECIFY),2012,ALMOST ALL
4,21074510,C,,,,
5,21074510,D,,,,
6,21074510,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21074510,A,DEVELOPMENT RPOJECTS (WATER PROJECT,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,21074510,B,,,,
9,21074510,C,,,,
10,21074510,D,,,,
1,21077725,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21077725,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,21077725,B,HUMAN EPIDEMIC DISEASES(HIV&AIDS),HUMAN EPIDEMIC DISEASE,2010,ALMOST ALL
4,21077725,C,,,,
5,21077725,D,,,,
6,21077725,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21077725,A,,,,
8,21077725,B,,,,
9,21077725,C,,,,
10,21077725,D,,,,
1,21080308,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21080308,A,BAD ROADS,OTHER BAD (SPECIFY),2010,ALMOST ALL
3,21080308,B,NO SCHOOLS WITHIN THE COMMUNITY,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,21080308,C,,,,
5,21080308,D,,,,
6,21080308,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21080308,A,DEVELOPMENT PROJECT (WATER PROJECT),DEVELOPMENT PROJECT,2010,ALMOST ALL
8,21080308,B,ON GRID ELECTRICITY,DEVELOPMENT PROJECT,2010,ALMOST ALL
9,21080308,C,,,,
10,21080308,D,,,,
1,21081573,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21081573,A,"HUMAN EPIDEMIC DISEASE(HIV,MALARI&",HUMAN EPIDEMIC DISEASE,2010,ALMOST ALL
3,21081573,B,UNEMPLOYMENT,OTHER BAD (SPECIFY),2010,3/4
4,21081573,C,,,,
5,21081573,D,,,,
6,21081573,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21081573,A,,,,
8,21081573,B,,,,
9,21081573,C,,,,
10,21081573,D,,,,
1,21086069,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21086069,A,DROUGHT,DROUGHT,2010,ALMOST NONE
3,21086069,B,SHARP CHANGES IN PRICE OF COMMODITI,OTHER BAD (SPECIFY),2010,ALMOST NONE
4,21086069,C,NO PIPED WATER,DEVELOPMENT PROJECT,2010,ALMOST NONE
5,21086069,D,,,,
6,21086069,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21086069,A,CONSTRUCTION OF WATER KIOSKS,DEVELOPMENT PROJECT,2013,ALMOST NONE
8,21086069,B,,,,
9,21086069,C,,,,
10,21086069,D,,,,
1,21086436,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21086436,A,DROUGHT,DROUGHT,2010,ALMOST NONE
3,21086436,B,NO PIPED WATER,OTHER BAD (SPECIFY),2010,ALMOST NONE
4,21086436,C,,,,
5,21086436,D,,,,
6,21086436,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21086436,A,,,,
8,21086436,B,,,,
9,21086436,C,,,,
10,21086436,D,,,,
1,21087531,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21087531,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,21087531,B,"SHORTAGE OF MEDICINE ,WATER ,SECURI",OTHER BAD (SPECIFY),2012,ALMOST ALL
4,21087531,C,,,,
5,21087531,D,,,,
6,21087531,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21087531,A,IMPROVED TRANSPORTATION,IMPROVED TRANSPORTATION,2012,ALMOST ALL
8,21087531,B,,,,
9,21087531,C,,,,
10,21087531,D,,,,
1,21088597,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,21088597,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,21088597,B,NO SAFE WATER TO DRINK,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,21088597,C,,,,
5,21088597,D,,,,
6,21088597,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,21088597,A,,,,
8,21088597,B,,,,
9,21088597,C,,,,
10,21088597,D,,,,
1,30101280,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30101280,A,FLOOD(THAT ALMOST DESTROYED ALL CRO,FLOOD,2013,ALMOST ALL
3,30101280,B,,,,
4,30101280,C,,,,
5,30101280,D,,,,
6,30101280,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30101280,A,NEW SCHOOL(NEW BLOCK FOR TWO CLASSE,NEW SCHOOL,2013,3/4
8,30101280,B,,,,
9,30101280,C,,,,
10,30101280,D,,,,
1,30101545,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30101545,A,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,3/4
3,30101545,B,,,,
4,30101545,C,,,,
5,30101545,D,,,,
6,30101545,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30101545,A,MAINTANANCE OF THE ROADS,NEW ROAD,2012,ALMOST ALL
8,30101545,B,FISHING DAM,DEVELOPMENT PROJECT,2012,ALMOST ALL
9,30101545,C,,,,
10,30101545,D,,,,
1,30102028,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30102028,A,FLOODS,FLOOD,2013,1/4
3,30102028,B,,,,
4,30102028,C,,,,
5,30102028,D,,,,
6,30102028,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30102028,A,CONSTRUCTION OF NEW BOREHOLS,DEVELOPMENT PROJECT,2012,ALMOST ALL
8,30102028,B,MAINTANANCE OF ROADS,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,30102028,C,,,,
10,30102028,D,,,,
1,30102540,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30102540,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,30102540,B,,,,
4,30102540,C,,,,
5,30102540,D,,,,
6,30102540,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30102540,A,,,,
8,30102540,B,,,,
9,30102540,C,,,,
10,30102540,D,,,,
1,30103074,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30103074,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,30103074,B,FLOOD,FLOOD,2013,ALMOST ALL
4,30103074,C,,,,
5,30103074,D,,,,
6,30103074,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30103074,A,MAINTANANCE OF THE ROAD,NEW ROAD,2010,3/4
8,30103074,B,NEW SCHOOL (1 BLOCK),POWER OUTAGE(S),2012,3/4
9,30103074,C,,,,
10,30103074,D,,,,
1,30104708,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30104708,A,DROGHT,DROUGHT,2011,ALMOST ALL
3,30104708,B,PHEPO YA NKUTHO,OTHER BAD (SPECIFY),2012,ALMOST ALL
4,30104708,C,5,,,
5,30104708,D,,,,
6,30104708,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30104708,A,NEW HOUSE FOR THE HEAD MASTER,NEW SCHOOL,2012,ALMOST ALL
8,30104708,B,MAINTANACE OF THE ROAD,NEW ROAD,2013,ALMOST ALL
9,30104708,C,,,,
10,30104708,D,,,,
1,30105325,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30105325,A,DROUGHT,DROUGHT,2012,3/4
3,30105325,B,CROP DISEASE/PESTS,CROP DISEASE/PESTS,2010,1/2
4,30105325,C,,,,
5,30105325,D,,,,
6,30105325,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30105325,A,IMPROVED TRANSPORTATION SERVICES,IMPROVED TRANSPORTATION,2011,3/4
8,30105325,B,,,,
9,30105325,C,,,,
10,30105325,D,,,,
1,30105448,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30105448,A,DROUGHT,DROUGHT,2010,3/4
3,30105448,B,,,,
4,30105448,C,,,,
5,30105448,D,,,,
6,30105448,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30105448,A,MAINTANCE OF THE ROAD,NEW ROAD,2012,ALMOST ALL
8,30105448,B,HOUSE FOR THE SCHOOL HEADMASTER,NEW SCHOOL,2011,ALMOST ALL
9,30105448,C,NEW BRIDGE,DEVELOPMENT PROJECT,2013,ALMOST ALL
10,30105448,D,,,,
1,30107624,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30107624,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,30107624,B,DROUGHT,DROUGHT,2009,ALMOST ALL
4,30107624,C,LIVESTOCK DISEASE,CROP DISEASE/PESTS,2012,3/4
5,30107624,D,,,,
6,30107624,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30107624,A,DEVELOPMENT PROJECT(MOULD BRICKS,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,30107624,B,NEW TEACHER HOUSES,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,30107624,C,,,,
10,30107624,D,,,,
1,30108401,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30108401,A,NO MARRIAGE,FLOOD,2010,ALMOST ALL
3,30108401,B,HUMAN  EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2011,1/2
4,30108401,C,,,,
5,30108401,D,,,,
6,30108401,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30108401,A,DESPENSARY,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,30108401,B,BLOCK FOR PRIMARY SCHOOL,NEW SCHOOL,2013,ALMOST ALL
9,30108401,C,,,,
10,30108401,D,,,,
1,30109724,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
