occ,y2_hhid,qx_type,interview_status,ag_u300a,ag_u300b,ag_u301,ag_u302,ag_u303,ag_u304,ag_u305
8,0940-004,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0940-004,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0940-004,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,,X,
11,0940-004,PANEL B,Panel B - 2 Visits,11,I never try anything that,,,X,,
12,0940-004,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0940-004,PANEL B,Panel B - 2 Visits,13,It is important for me to,,,,,X
14,0940-004,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0940-004,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,,X,
16,0940-004,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0940-004,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0940-004,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,,X,
19,0940-004,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,,X,
20,0940-004,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,,X,
21,0940-004,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0940-004,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0940-004,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,,,X,
24,0940-004,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,,X,
25,0940-004,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0940-004,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0940-004,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,,X,,
28,0940-004,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0940-005,PANEL B,Panel B - 2 Visits,,,,,,,
1,0941-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0941-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0941-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,X,,,,
4,0941-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,X,,,,
5,0941-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0941-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,X,,,,
7,0941-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0941-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0941-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,X,,,,
10,0941-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0941-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,X,,,,
12,0941-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,,X,,
13,0941-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0941-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0941-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0941-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0941-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,X,,,,
18,0941-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,X,,,
19,0941-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0941-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,X,,
21,0941-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0941-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,X,,,
23,0941-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,X,,,,
24,0941-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,X,,,
25,0941-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0941-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0941-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0941-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0942-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0943-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0943-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,,,X,
3,0943-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,,X
4,0943-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,X,,,,
5,0943-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,X,,,,
6,0943-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,X,,,,
7,0943-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0943-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,,X,,
9,0943-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0943-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,,,X
11,0943-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,X,,,,
12,0943-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0943-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,X,,,,
14,0943-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0943-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,X,,,,
16,0943-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,X,,,,
17,0943-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,X,,,,
18,0943-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,X,,,,
19,0943-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0943-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,X,,,,
21,0943-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0943-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0943-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,X,,,,
24,0943-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,X,,,,
25,0943-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0943-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0943-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,X,,,,
28,0943-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,X,,,,
1,0944-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0944-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0944-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0944-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0944-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,X,,
6,0944-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0944-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,X,,,,
8,0944-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0944-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,X,,
10,0944-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,X,,
11,0944-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0944-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,,,X,
13,0944-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0944-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0944-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0944-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,X,,,,
17,0944-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0944-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0944-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0944-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,X,,,,
21,0944-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0944-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,X,,,,
23,0944-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0944-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,X,,,,
25,0944-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0944-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0944-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0944-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0944-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0945-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0945-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0946-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0947-001,PANEL A,Panel A - Combined Visit,,,,,,,
1,0948-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0948-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0949-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0949-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0949-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0949-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0949-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,,X,
6,0949-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,,X,,
7,0949-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,X,,,
8,0949-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,,,X,
9,0949-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,,X,
10,0949-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,,X,
11,0949-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,X,,
12,0949-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,X,,,
13,0949-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0949-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0949-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,,,X,
16,0949-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0949-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0949-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,,X,
19,0949-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0949-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,X,,
21,0949-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0949-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0949-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,,X,,
24,0949-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,,X,
25,0949-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0949-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0949-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,X,,
28,0949-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0949-009,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0949-009,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,X,,,,
3,0949-009,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0949-009,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0949-009,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,,X,
6,0949-009,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0949-009,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,,X,
8,0949-009,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0949-009,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,X,,,
10,0949-009,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0949-009,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,,X,
12,0949-009,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,X,,,
13,0949-009,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0949-009,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,,X,
15,0949-009,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0949-009,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,,X,
17,0949-009,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0949-009,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,X,,,
19,0949-009,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0949-009,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,,X,
21,0949-009,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0949-009,PANEL A,Panel A - 2 Visits,22,My family and friends wou,X,,,,
23,0949-009,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0949-009,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,,X,
25,0949-009,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0949-009,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0949-009,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,,X,
28,0949-009,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0950-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0950-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0950-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0950-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0950-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0950-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0950-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,X,,,,
8,0950-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0950-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0950-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0950-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0950-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0950-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0950-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0950-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0950-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0950-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0950-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0950-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0950-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,X,,,
21,0950-001,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0950-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0950-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0950-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,X,,,,
25,0950-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0950-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0950-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0950-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0951-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0951-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0951-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,X,
4,0951-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,,X,,
5,0951-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0951-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0951-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,,X,
8,0951-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0951-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,X,,,
10,0951-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,,X,
11,0951-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,X,,
12,0951-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0951-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0951-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0951-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,,,X,
16,0951-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0951-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0951-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,X,,
19,0951-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0951-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,,X,
21,0951-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0951-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0951-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0951-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,,,X
25,0951-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0951-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0951-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0951-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0952-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0953-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0953-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,X,,,,
3,0953-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,X,,,,
4,0953-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0953-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0953-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0953-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0953-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,,X,,
9,0953-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0953-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0953-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0953-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0953-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0953-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0953-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0953-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0953-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,X,,,,
18,0953-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,X,,,,
19,0953-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0953-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,X,,,,
21,0953-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0953-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0953-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0953-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,X,,
25,0953-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0953-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0953-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0953-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,,X,,
1,0954-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0954-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0954-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0954-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0954-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0954-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0954-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,X,,
8,0954-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0954-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,X,,
10,0954-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0954-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0954-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0954-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0954-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0954-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0954-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0954-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0954-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0954-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0954-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,X,,
21,0954-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0954-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0954-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0954-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,X,,,,
25,0954-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0954-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0954-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0954-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0955-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0955-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0955-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0955-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0955-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0955-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,X,,,,
7,0955-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0955-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0955-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0955-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,X,,
11,0955-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0955-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,X,,,
13,0955-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,X,,,,
14,0955-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0955-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0955-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,X,,
17,0955-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0955-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,X,,,
19,0955-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0955-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,X,,,,
21,0955-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0955-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,X,,,,
23,0955-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,X,,,,
24,0955-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,X,,,
25,0955-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0955-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0955-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0955-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0956-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0956-002,PANEL B,Panel B - 2 Visits,,,,,,,
1,0957-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0957-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0957-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0957-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,,X,,
5,0957-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0957-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0957-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,X,,
8,0957-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0957-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,X,,,,
10,0957-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,X,,,,
11,0957-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0957-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0957-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0957-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0957-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0957-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,X,,,,
17,0957-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0957-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,X,,
19,0957-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0957-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,X,,,
21,0957-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0957-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,X,,,,
