occ,ea_id,com_ci0b,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07b,com_ci07c,com_ci08a,com_ci08b,com_ci08c,com_ci09a,com_ci09b,com_ci09c,com_ci10,com_ci11,com_ci12,com_ci13,com_ci14
1,21081573,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21081573,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21081573,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21081573,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21081573,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21086069,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21086069,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21086069,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21086069,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21086069,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21086436,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21086436,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21086436,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21086436,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21086436,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21087531,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21087531,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21087531,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21087531,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21087531,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21088597,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21088597,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,CONFISCATION OF TOOLS/PRODUCTS,CONFISCATION OF TOOLS/PRODUCTS,,NOT EFFECTIVE,NO,,YES,NO
3,21088597,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21088597,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21088597,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30101280,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30101280,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30101280,PASTURE,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,30101280,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30101280,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30101545,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30101545,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,USE THE THREAT OF PHYSICAL PUNISHMENT,,NO RESTRICTIONS,,,USE THREAT OF FINE,PHYSICAL PUNISHMENT,,FULLY EFFECTIVE,NO,,NO,
3,30101545,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30101545,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30101545,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30102028,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30102028,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30102028,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30102028,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30102028,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30102540,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30102540,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30102540,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30102540,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30102540,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30103074,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30103074,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30103074,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30103074,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30103074,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30104708,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30104708,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30104708,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30104708,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30104708,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30105325,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30105325,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30105325,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30105325,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30105325,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30105448,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30105448,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,USE THE THREAT OF PHYSICAL PUNISHMENT,,ROTATION AMONG GROUPS OF FAMILIES,,,USE THREAT OF FINE,PHYSICAL PUNISHMENT,,FULLY EFFECTIVE,NO,,NO,
3,30105448,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30105448,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30105448,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30107624,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30107624,FOREST,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,30107624,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30107624,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30107624,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30108401,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30108401,FOREST,YES,YES,YES,YES,NO,YES,USE GUARDS,USE THE THREAT OF PHYSICAL PUNISHMENT,,NO RESTRICTIONS,,,USE THREAT OF FINE,PHYSICAL PUNISHMENT,,FULLY EFFECTIVE,NO,,NO,
3,30108401,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30108401,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30108401,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30109724,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30109724,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30109724,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30109724,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30109724,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30202252,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30202252,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,USE THE THREAT OF PHYSICAL PUNISHMENT,USE GUARDS,NO RESTRICTIONS,,,USE THREAT OF FINE,PHYSICAL PUNISHMENT,,FULLY EFFECTIVE,NO,,NO,
3,30202252,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30202252,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30202252,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30206341,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30206341,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30206341,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30206341,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30206341,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30206572,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30206572,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30206572,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30206572,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30206572,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30208396,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,,
2,30208396,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30208396,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30208396,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30208396,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30212307,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30212307,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30212307,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30212307,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30212307,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30212492,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30212492,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30212492,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30212492,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30212492,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30302601,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30302601,FOREST,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,30302601,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30302601,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30302601,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30305082,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30305082,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,30305082,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30305082,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30305082,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30305277,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30305277,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30305277,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30305277,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30305277,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30305580,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30305580,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30305580,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30305580,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30305580,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30306087,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30306087,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30306087,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30306087,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30306087,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30306555,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30306555,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30306555,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30306555,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30306555,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30307678,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30307678,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,30307678,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30307678,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30307678,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30403444,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30403444,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30403444,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30403444,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30403444,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30406710,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30406710,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,30406710,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30406710,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30406710,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30501383,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30501383,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30501383,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30501383,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30501383,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30502456,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30502456,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,CONFISCATION OF TOOLS/PRODUCTS,,,FULLY EFFECTIVE,YES,INITIATE AGRICULTURAL SCHEME,NO,
3,30502456,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30502456,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30502456,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30503685,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30503685,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,USE THE THREAT OF FINE,,TIME RESTRICTIONS,,,CONFISCATION OF TOOLS/PRODUCTS,USE THREAT OF FINE,,FULLY EFFECTIVE,NO,,NO,
3,30503685,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30503685,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30503685,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30504518,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30504518,FOREST,YES,YES,YES,NO,NO,NO,,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,OTHER (SPECIFY),,FULLY EFFECTIVE,NO,,NO,
3,30504518,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30504518,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30504518,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30602235,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30602235,FOREST,YES,YES,YES,NO,NO,NO,,,,TIME RESTRICTIONS,,,CONFISCATION OF TOOLS/PRODUCTS,USE THREAT OF FINE,,SOMEWHAT EFFECTIVE,NO,,NO,
3,30602235,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30602235,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30602235,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30620196,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30620196,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,30620196,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30620196,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30620196,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30703381,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30703381,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30703381,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30703381,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30703381,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30704313,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30704313,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30704313,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30704313,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30704313,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30705391,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30705391,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30705391,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30705391,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30705391,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30706619,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30706619,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30706619,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30706619,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30706619,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30708665,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30708665,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30708665,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30708665,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30708665,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30709438,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30709438,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30709438,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30709438,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30709438,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30710079,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30710079,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30710079,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30710079,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30710079,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30711684,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30711684,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30711684,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30711684,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30711684,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30801672,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30801672,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30801672,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30801672,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30801672,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30801679,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30801679,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30801679,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30801679,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30801679,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30803115,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30803115,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30803115,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30803115,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30803115,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30804416,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30804416,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,30804416,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30804416,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30804416,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30805259,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30805259,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30805259,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30805259,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30805259,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30806611,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30806611,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30806611,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30806611,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30806611,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30901054,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30901054,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30901054,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30901054,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30901054,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30901475,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30901475,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30901475,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30901475,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30901475,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,30901603,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,30901603,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,30901603,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,30901603,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,30901603,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31001333,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31001333,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31001333,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31001333,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31001333,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31001749,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31001749,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31001749,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31001749,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31001749,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31002169,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31002169,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31002169,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31002169,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31002169,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31004312,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31004312,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31004312,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31004312,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31004312,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31006556,UNALLOCATED ARABLE LAND,YES,YES,YES,YES,NO,YES,USE GUARDS,USE THE THREAT OF FINE,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,YES,INITIATE AGRICULTURAL SCHEME,,
2,31006556,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31006556,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31006556,WATER BODY:,YES,YES,NO,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
5,31006556,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31007335,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31007335,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31007335,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31007335,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31007335,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31108703,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31108703,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,31108703,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31108703,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31108703,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31201007,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31201007,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
3,31201007,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31201007,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31201007,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31201104,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31201104,FOREST,YES,YES,YES,NO,NO,,USE THE THREAT OF FINE,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,CONFISCATION OF TOOLS/PRODUCTS,USE THREAT OF FINE,,FULLY EFFECTIVE,NO,,NO,
3,31201104,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31201104,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31201104,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31201197,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31201197,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31201197,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31201197,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31201197,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31201516,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31201516,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31201516,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31201516,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31201516,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31204618,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31204618,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,USE THE THREAT OF FINE,,TIME RESTRICTIONS,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,FULLY EFFECTIVE,NO,,NO,
3,31204618,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31204618,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31204618,OTHER:,NO,,,,,,,,,,,,,,,,,,,
