HHID,case_id,qx_type,visit,ea_id,ag_i0b,ag_i0b_os,ag_i01,ag_i02a,ag_i02b,ag_i02b_os,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12b_os,ag_i12c,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i17_os,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21b_os,ag_i21c,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i26_os,ag_i27,ag_i28,ag_i29,ag_i30a,ag_i30b,ag_i30b_os,ag_i30c,ag_i31a,ag_i31b,ag_i31b_os,ag_i31c,ag_i32a,ag_i32b,ag_i32b_os,ag_i32c,ag_i33a,ag_i33b,ag_i33b_os,ag_i33c,ag_i34a,ag_i34b,ag_i34b_os,ag_i34c,ag_i35a,ag_i35b,ag_i35b_os,ag_i35c,ag_i36a,ag_i36b,ag_i36b_os,ag_i36c,ag_i36d,ag_i36e,ag_i37a,ag_i37a_os,ag_i37b,ag_i37b_os,ag_i38,ag_i39,ag_i39_os,ag_i40a,ag_i40b,ag_i40b_os,ag_i40c,ag_i41a,ag_i41a_os,ag_i41b,ag_i41b_os,ag_i42a,ag_i42a_os,ag_i42b,ag_i42b_os
1516,208084210116,Panel B,2,20808421,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,50,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,7,OX - CART,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1522,208084210141,Panel B,2,20808421,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,30,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
1522,208084210141,Panel B,2,20808421,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Traditional Nkhokwe,,1,OTHER (SPECIFY),TON,U: UNSHELLED,Other (Specify),APPLY FODYA,,,Food for household,,To sell at a higher price,
1522,208084210141,Panel B,2,20808421,IRISH [MALAWI] POTATO,,YES,5,50 KG BAG,,NOT APPLICABLE,10000,N04,5,50 KG BAG,,NOT APPLICABLE,10000,1,2,June,2010,1,Truck / Bus / Minibus,,600,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,50 KG BAG,,NOT APPLICABLE,0,,,,,,,,,,YES,Heaped in house,,2,50 KG BAG,,NOT APPLICABLE,Did Nothing,,,,Food for household,,Seed for planting,
1522,208084210141,Panel B,2,20808421,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,30,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
1522,208084210141,Panel B,2,20808421,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,3,OTHER (SPECIFY),TON,U: UNSHELLED,Other (Specify),APPLY FODYA,,,Food for household,,To sell at a higher price,
1522,208084210141,Panel B,2,20808421,SOYABEAN,,YES,4,50 KG BAG,,S: SHELLED,8000,N01,4,50 KG BAG,,S: SHELLED,8000,1,2,June,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,40,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
1504,208084210149,Panel B,2,20808421,GROUNDNUT MAWANGA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,7,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,10,50 KG BAG,,U: UNSHELLED,Spraying,,,,Food for household,,Seed for planting,
1504,208084210149,Panel B,2,20808421,SOYABEAN,,YES,1,50 KG BAG,,S: SHELLED,1500,N01,2,50 KG BAG,,S: SHELLED,1500,1,2,May,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,20,KILOGRAM,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
1504,208084210149,Panel B,2,20808421,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,20,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,To sell at a higher price,
1526,208084210166,Panel B,2,20808421,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Traditional Nkhokwe,,12,50 KG BAG,,U: UNSHELLED,Other (Specify),,,,Food for household,,,
1518,208084210174,Panel B,2,20808421,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Traditional Nkhokwe,,2,OX - CART,,U: UNSHELLED,Spraying,,,,Food for household,,,
1518,208084210174,Panel B,2,20808421,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Traditional Nkhokwe,,2,OX - CART,,U: UNSHELLED,Spraying,,,,Food for household,,,
1558,209035830002,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,5,KILOGRAM,,S: SHELLED,Spraying,,,,Food for household,,,
1558,209035830002,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,28,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1544,209035830022,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1544,209035830022,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,20,KILOGRAM,,S: SHELLED,Smoking,,,,Food for household,,,
1544,209035830022,Panel B,2,20903583,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,30,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,14,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1542,209035830041,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1554,209035830061,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,BASKET (DENGU),,S: SHELLED,,,Insects,,,,YES,Bags in house,,20,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1554,209035830061,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,BASKET (DENGU),,S: SHELLED,,,Insects,,,,YES,Bags in house,,5,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1554,209035830061,Panel B,2,20903583,MAIZE HYBRID RECYCLED,,YES,2,PAIL (LARGE),,S: SHELLED,800,N05,2,PAIL (LARGE),,S: SHELLED,800,1,,July,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,5,BASKET (DENGU),,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,13,50 KG BAG,,S: SHELLED,Other (Specify),DUSTING,,,Food for household,,Seed for planting,
1556,209035830081,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,20,50 KG BAG,,S: SHELLED,Spraying,,Other (Specify),DUSTING,Food for household,,,
1556,209035830081,Panel B,2,20903583,BEANS,,YES,1,50 KG BAG,,S: SHELLED,4500,N06,1,50 KG BAG,,S: SHELLED,4500,2,,June,2010,1,Truck / Bus / Minibus,,100,NO,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),,S: SHELLED,0,,,,0,,,,0,,,,30,KILOGRAM,,S: SHELLED,5,BASKET (DENGU),,S: SHELLED,,,Rotting,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
1532,209035830100,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1532,209035830100,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,25,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1552,209035830140,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,4,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1552,209035830140,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1546,209035830159,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1546,209035830159,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1546,209035830159,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1528,209035830179,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,15,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,25,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1528,209035830179,Panel B,2,20903583,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,2,BASKET (DENGU),,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Other (Specify),DUSTING,,,Food for household,,Seed for planting,
1528,209035830179,Panel B,2,20903583,BEANS,,YES,1,OTHER (SPECIFY),LICHELO,S: SHELLED,1000,N07,1,OTHER (SPECIFY),LICHELO,S: SHELLED,1000,1,,March,2010,1,Truck / Bus / Minibus,,100,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,15,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,10,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1550,209035830238,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1536,209035830258,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,3,90 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1536,209035830258,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1534,209035830297,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,,
1548,209035830317,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,YES,3,50 KG BAG,,U: UNSHELLED,4500,N05,3,50 KG BAG,,U: UNSHELLED,4500,1,,July,2010,3,Bicycle Taxi,,150,NO,,,,,,,,,,,,,,,,,,,,,25,50 KG BAG,,U: UNSHELLED,0,,,,0,,,,0,,,,1,50 KG BAG,,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
1548,209035830317,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,50,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,10,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1548,209035830317,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,5,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1530,209035830336,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,BASKET (DENGU),,S: SHELLED,,,Rotting,,,,NO,,,,,,,,,,,Food for household,,,
1530,209035830336,Panel B,2,20903583,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,5,BASKET (DENGU),,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,11,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1540,209035830376,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Magic (Kutsirika),,,,Food for household,,,
1540,209035830376,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,16,50 KG BAG,,S: SHELLED,Magic (Kutsirika),,,,Food for household,,,
1540,209035830376,Panel B,2,20903583,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1538,209035830395,Panel B,2,20903583,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Unprotected pile,,20,KILOGRAM,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1538,209035830395,Panel B,2,20903583,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Heaped in house,,1,OX - CART,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1541,209065240013,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,2,50 KG BAG,,S: SHELLED,,,Rodents/Pests,,Theft,,YES,Traditional Nkhokwe,,3,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
1541,209065240013,Panel A,2,20906524,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,50 KG BAG,,S: SHELLED,2,50 KG BAG,,S: SHELLED,,,Other Specify,ANIMALS,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1549,209065240020,Panel A,2,20906524,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,1,50 KG BAG,,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
1565,209065240027,Panel A,2,20906524,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1565,209065240027,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Heaped in house,,3,OX - CART,,U: UNSHELLED,Spraying,,,,Food for household,,,
1565,209065240027,Panel A,2,20906524,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1567,209065240061,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,3,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1567,209065240061,Panel A,2,20906524,SOYABEAN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,10,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
1563,209065240102,Panel A,2,20906524,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1559,209065240152,Panel A,2,20906524,MAIZE LOCAL,,YES,1,50 KG BAG,,S: SHELLED,1000,N04,1,50 KG BAG,,S: SHELLED,1000,1,,June,2010,1,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,11,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1551,209065240160,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,10,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,4,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BASKET (DENGU),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,FINGER MILLET(MAWERE),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,NOT APPLICABLE,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1545,209065240180,Panel A,2,20906524,MAIZE HYBRID,,YES,1,50 KG BAG,,S: SHELLED,2000,N06,70,KILOGRAM,,S: SHELLED,2000,1,,April,2010,4,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
1555,209065240193,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
1555,209065240193,Panel A,2,20906524,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1555,209065240193,Panel A,2,20906524,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1537,209065240205,Panel A,2,20906524,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,5,50 KG BAG,,S: SHELLED,Smoking,,,,Food for household,,,
1537,209065240205,Panel A,2,20906524,OTHER (SPECIFY,COWPEAS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,5,KILOGRAM,,S: SHELLED,Spraying,,,,Food for household,,,
1537,209065240205,Panel A,2,20906524,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,0,,,,1,50 KG BAG,,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,5,50 KG BAG,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1537,209065240205,Panel A,2,20906524,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1537,209065240205,Panel A,2,20906524,SWEET POTATO,,YES,4,BASKET (DENGU),,NOT APPLICABLE,4000,N07,4,BASKET (DENGU),,NOT APPLICABLE,4000,1,2,July,2010,4,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
1539,209065240211,Panel A,2,20906524,SORGHUM.,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
1539,209065240211,Panel A,2,20906524,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Unprotected pile,,1,50 KG BAG,,U: UNSHELLED,Did Nothing,,,,Food for household,,,
1539,209065240211,Panel A,2,20906524,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
