occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
3,1709-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1709-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1709-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,1709-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,460
7,1709-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1709-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,3800
9,1709-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1710-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,900
2,1710-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1710-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1710-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1710-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,1710-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1710-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1710-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,400
9,1710-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1710-002,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,300
2,1710-002,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1710-002,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1710-002,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1710-002,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,1710-002,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1710-002,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,400
8,1710-002,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1500
9,1710-002,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1710-003,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,900
2,1710-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1710-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1710-003,PANEL B,Panel B - 2 Visits,YES,CANDLES,350
5,1710-003,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,1710-003,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1710-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1710-003,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,800
9,1710-003,PANEL B,Panel B - 2 Visits,,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1711-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,1711-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,50
3,1711-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1711-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1711-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,1711-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1711-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1711-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1711-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1712-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,1712-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1712-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1712-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,300
5,1712-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,1712-001,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,1200
7,1712-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1712-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1712-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1713-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,700
2,1713-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1713-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1713-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,280
5,1713-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,60
6,1713-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1713-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1713-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1713-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1714-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,900
2,1714-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1714-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1714-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,180
5,1714-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,1714-001,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,780
7,1714-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,350
8,1714-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,700
9,1714-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1715-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,700
2,1715-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1715-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1715-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,280
5,1715-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,1715-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1715-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1715-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,3000
9,1715-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1715-003,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1400
2,1715-003,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1715-003,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1715-003,PANEL A,Panel A - 2 Visits,YES,CANDLES,100
5,1715-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,45
6,1715-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1715-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1715-003,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1000
9,1715-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1716-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,1800
2,1716-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1716-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1716-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,200
5,1716-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,1716-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1716-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1716-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1300
9,1716-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1716-005,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,2000
2,1716-005,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1716-005,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1716-005,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1716-005,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,1716-005,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1716-005,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1716-005,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,300
9,1716-005,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1717-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,2500
2,1717-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1717-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1717-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,160
5,1717-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,200
6,1717-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1717-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1717-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,6000
9,1717-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1717-002,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,400
2,1717-002,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1717-002,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1717-002,PANEL A,Panel A - 2 Visits,YES,CANDLES,340
5,1717-002,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,1717-002,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1717-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1717-002,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2000
9,1717-002,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1717-003,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,850
2,1717-003,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1717-003,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1717-003,PANEL A,Panel A - 2 Visits,YES,CANDLES,490
5,1717-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,1717-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1717-003,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,200
8,1717-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1717-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1718-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,1400
2,1718-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1718-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1718-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,840
5,1718-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,1718-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1718-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1718-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2100
9,1718-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1719-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1400
2,1719-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1719-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1719-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,490
5,1719-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,1719-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1719-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1719-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2100
9,1719-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1719-003,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,100
2,1719-003,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1719-003,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,500
4,1719-003,PANEL A,Panel A - 2 Visits,YES,CANDLES,70
5,1719-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,30
6,1719-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1719-003,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,100
8,1719-003,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2250
9,1719-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1719-009,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,1719-009,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1719-009,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1719-009,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1719-009,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,1719-009,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1719-009,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1719-009,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1719-009,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1720-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,1200
2,1720-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1720-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1720-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,1500
5,1720-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,1720-001,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,1500
7,1720-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1720-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,4000
9,1720-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1720-005,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,350
2,1720-005,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1720-005,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1720-005,PANEL B,Panel B - 2 Visits,YES,CANDLES,80
5,1720-005,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,1720-005,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1720-005,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1720-005,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1300
9,1720-005,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1721-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1400
2,1721-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1721-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1721-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1721-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,45
6,1721-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,300
7,1721-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1721-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,600
9,1721-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1722-002,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,300
2,1722-002,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1722-002,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1722-002,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1722-002,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,1722-002,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1722-002,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1722-002,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,500
9,1722-002,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1723-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1400
2,1723-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1723-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1723-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1723-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,1723-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1723-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1723-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,300
9,1723-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1724-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,700
2,1724-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1724-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1724-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1724-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,100
6,1724-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1724-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1724-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,3000
9,1724-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1725-001,PANEL A,Panel A - Combined Visit,NO,CHARCOAL,
2,1725-001,PANEL A,Panel A - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,1725-001,PANEL A,Panel A - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,1725-001,PANEL A,Panel A - Combined Visit,NO,CANDLES,
5,1725-001,PANEL A,Panel A - Combined Visit,YES,MATCHES,40
6,1725-001,PANEL A,Panel A - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,1725-001,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1725-001,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1725-001,PANEL A,Panel A - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1726-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,1800
2,1726-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1726-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1726-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,350
5,1726-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,1726-001,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,1500
7,1726-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1726-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1726-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1727-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,1727-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1727-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1727-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,1727-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,1727-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1727-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,730
8,1727-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,550
9,1727-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1727-003,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1000
2,1727-003,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1727-003,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1727-003,PANEL A,Panel A - 2 Visits,YES,CANDLES,200
5,1727-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,50
6,1727-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1727-003,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,400
8,1727-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1727-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1728-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,500
2,1728-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1728-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1728-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1728-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,1728-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1728-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1728-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1728-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1728-003,PANEL B,Panel B - Combined Visit,NO,CHARCOAL,
2,1728-003,PANEL B,Panel B - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,1728-003,PANEL B,Panel B - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,1728-003,PANEL B,Panel B - Combined Visit,NO,CANDLES,
5,1728-003,PANEL B,Panel B - Combined Visit,YES,MATCHES,20
6,1728-003,PANEL B,Panel B - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,1728-003,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1728-003,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,1728-003,PANEL B,Panel B - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1729-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,1729-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1729-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1729-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,80
5,1729-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,1729-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,300
7,1729-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1729-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2200
9,1729-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,1730-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,1200
2,1730-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,1730-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,1730-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,1730-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,1730-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,1730-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,1730-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,600
