occ,y2_hhid,qx_type,interview_status,ag_t0a,ag_t01,ag_t02
14,1298-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1299-001,PANEL A,Panel A - 2 Visits,,,
1,1300-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,1300-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1300-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,1300-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,1300-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
6,1300-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,1300-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,1300-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
9,1300-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
10,1300-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1300-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1300-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1300-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1300-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1301-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,1301-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,1301-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,1301-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1301-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,1301-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,1301-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1301-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1301-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,1301-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1301-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1301-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1301-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1301-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1302-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1302-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1302-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
4,1302-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
5,1302-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
6,1302-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,1302-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,1302-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
9,1302-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
10,1302-001,PANEL B,Panel B - 2 Visits,FORESTRY,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
11,1302-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
12,1302-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
13,1302-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
14,1302-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1302-005,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,1302-005,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,1302-005,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,1302-005,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,1302-005,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,1302-005,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,1302-005,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,1302-005,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1302-005,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,1302-005,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1302-005,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1302-005,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1302-005,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1302-005,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1303-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,AGRICULTURAL EXTENSION COURSE
2,1303-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,AGRICULTURAL EXTENSION COURSE
3,1303-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,AGRICULTURAL EXTENSION COURSE
4,1303-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,AGRICULTURAL EXTENSION COURSE
5,1303-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,AGRICULTURAL EXTENSION COURSE
6,1303-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,AGRICULTURAL EXTENSION COURSE
7,1303-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1303-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1303-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
10,1303-001,PANEL A,Panel A - 2 Visits,FORESTRY,YES,AGRICULTURAL EXTENSION COURSE
11,1303-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1303-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1303-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1303-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1304-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1304-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1304-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
4,1304-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
5,1304-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
6,1304-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
7,1304-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
8,1304-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
9,1304-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
10,1304-001,PANEL B,Panel B - 2 Visits,FORESTRY,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
11,1304-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
12,1304-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,VILLAGE AGRICULTURAL EXTENSION MEETING
13,1304-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1304-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1305-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1305-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1305-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,1305-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1305-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,1305-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,1305-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,1305-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
9,1305-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
10,1305-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1305-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1305-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1305-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1305-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1306-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1306-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,1306-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
4,1306-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,1306-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
6,1306-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,1306-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,1306-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
9,1306-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
10,1306-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1306-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1306-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1306-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1306-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1307-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1307-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1307-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
4,1307-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1307-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
6,1307-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,1307-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,1307-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
9,1307-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
10,1307-001,PANEL A,Panel A - 2 Visits,FORESTRY,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
11,1307-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
12,1307-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
13,1307-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
14,1307-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1308-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,1308-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1308-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,1308-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
5,1308-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,1308-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,1308-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
8,1308-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,GOV. AGRICULTURAL EXTENSION SERVICE
9,1308-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,GOV. AGRICULTURAL EXTENSION SERVICE
10,1308-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1308-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
12,1308-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
13,1308-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1308-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1310-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,1310-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,1310-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,1310-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,1310-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,1310-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,NGO
7,1310-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,1310-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1310-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,1310-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1310-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1310-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1310-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1310-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1311-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
2,1311-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
3,1311-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
4,1311-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
5,1311-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
6,1311-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
7,1311-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
8,1311-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
9,1311-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
10,1311-001,PANEL A,Panel A - 2 Visits,FORESTRY,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
11,1311-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
12,1311-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
13,1311-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1311-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1311-003,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,1311-003,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,1311-003,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,1311-003,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
5,1311-003,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,1311-003,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,1311-003,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
8,1311-003,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,YES,GOV. AGRICULTURAL EXTENSION SERVICE
9,1311-003,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,GOV. AGRICULTURAL EXTENSION SERVICE
10,1311-003,PANEL A,Panel A - 2 Visits,FORESTRY,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
11,1311-003,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
12,1311-003,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
13,1311-003,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1311-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1312-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
2,1312-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
3,1312-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
4,1312-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
5,1312-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
6,1312-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,1312-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,1312-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1312-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,1312-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,1312-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1312-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1312-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,1312-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,1313-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,1313-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,1313-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,1313-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1313-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,1313-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,NGO
7,1313-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1313-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1313-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,1313-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1313-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1313-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,1313-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1313-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1314-001,PANEL B,Panel B - Combined Visit,NEW SEED VARIETIES,NO,
2,1314-001,PANEL B,Panel B - Combined Visit,PEST CONTROL,NO,
3,1314-001,PANEL B,Panel B - Combined Visit,FERTILIZER USE,NO,
4,1314-001,PANEL B,Panel B - Combined Visit,PIT PLANTING,NO,
5,1314-001,PANEL B,Panel B - Combined Visit,IRRIGATION,NO,
6,1314-001,PANEL B,Panel B - Combined Visit,COMPOSTING,NO,
7,1314-001,PANEL B,Panel B - Combined Visit,MARKETING/CROP SALES,NO,
8,1314-001,PANEL B,Panel B - Combined Visit,GROWING/SELLING TOBACCO,NO,
9,1314-001,PANEL B,Panel B - Combined Visit,ACCESS TO CREDIT,NO,
10,1314-001,PANEL B,Panel B - Combined Visit,FORESTRY,NO,
11,1314-001,PANEL B,Panel B - Combined Visit,GENERAL ANIMAL CARE,NO,
12,1314-001,PANEL B,Panel B - Combined Visit,ANIMAL DISEASES / VACCINATION,NO,
13,1314-001,PANEL B,Panel B - Combined Visit,FISHERY PRODUCTION,NO,
14,1314-001,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),NO,
1,1315-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,1315-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,1315-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,1315-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1315-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,1315-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,1315-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1315-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1315-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,1315-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1315-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1315-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,1315-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1315-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1315-003,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,1315-003,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,1315-003,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
4,1315-003,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1315-003,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,1315-003,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,1315-003,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1315-003,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1315-003,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,1315-003,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1315-003,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1315-003,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1315-003,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1315-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1315-005,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,1315-005,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,1315-005,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,1315-005,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,1315-005,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,1315-005,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,1315-005,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,1315-005,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,1315-005,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,1315-005,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,1315-005,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,1315-005,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,1315-005,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,1315-005,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,1316-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,1316-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,1316-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
