occ,y2_hhid,PID,qx_type,interview_status,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c08,hh_c09,hh_c11,hh_c12,hh_c13,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
2,1932-001,193200102,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 2,NONE,NO,,NO,1988,,,,,,,,,,,,,,,,
1,1933-001,193301,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1933-001,193302,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1933-001,193303,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,1933-004,193304,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1993,,,,,,,,,,,,,,,,
2,1933-004,193300402,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1933-004,193300403,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2013,,,,,,,,,,,,,,,,
4,1933-004,193300404,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
5,1933-004,193300405,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,1933-004,193300406,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,1934-001,193401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1975,,,,,,,,,,,,,,,,
2,1934-001,193402,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1934-001,193404,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2012,,,,,,,,,,,,,,,,
4,1934-001,193405,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,YES,0,0,1200,500,0,0,0,0,0,1700
5,1934-001,193406,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,YES,0,0,210,450,0,0,0,0,0,660
6,1934-001,193403,PANEL B,Panel B - 2 Visits,6,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2004,,,,,,,,,,,,,,,,
1,1935-001,193501,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1935-001,193502,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1935-001,193506,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,1935-001,193507,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
5,1935-001,193509,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,1935-001,193510,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
7,1935-001,193511,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
8,1935-001,193512,PANEL A,Panel A - 2 Visits,8,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,1937-001,193701,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1937-001,193702,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1937-001,193704,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,1937-001,193709,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
5,1937-001,193710,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,1937-001,193711,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 2,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,500,0,100,0,0,0,600
7,1937-001,193712,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,CHURCH / MISSION SCHOOL,DAY SCHOLAR,FOOT,50,MINUTE,NO,0,0,0,400,0,100,0,0,0,500
8,1937-001,193708,PANEL A,Panel A - 2 Visits,8,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
9,1937-001,193700109,PANEL A,Panel A - 2 Visits,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1937-003,193703,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1937-003,193700302,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1937-003,193700303,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,CHURCH / MISSION SCHOOL,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,50,0,0,0,0,50,0,100
4,1937-003,193700304,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
5,1937-003,193700305,PANEL A,Panel A - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1937-007,193700701,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1937-007,193707,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,2006,,,,,,,,,,,,,,,,
3,1937-007,193700703,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1938-001,193801,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
2,1938-001,193800102,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2009,,,,,,,,,,,,,,,,
3,1938-001,193800103,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1938-001,193800104,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1938-002,193800201,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
2,1938-002,193802,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1938-002,193803,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,0,0,100,0,0,0,100
4,1938-002,193804,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1938-002,193800205,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1939-002,193902,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 2,NONE,NO,,NO,2004,,,,,,,,,,,,,,,,
2,1939-002,193903,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,8,MINUTE,NO,0,0,50,500,0,150,0,0,0,700
3,1939-002,193904,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1939-002,193900204,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1940-001,194000101,PANEL B,Panel B - Combined Visit,1,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1993,,,,,,,,,,,,,,,,
2,1940-001,194000102,PANEL B,Panel B - Combined Visit,2,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1997,,,,,,,,,,,,,,,,
3,1940-001,194000103,PANEL B,Panel B - Combined Visit,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,1,DAY SCHOLAR,FOOT,20,MINUTE,,0,0,100,700,0,300,0,0,0,
4,1940-001,194000104,PANEL B,Panel B - Combined Visit,4,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,1,DAY SCHOLAR,FOOT,20,MINUTE,,6000,0,80,700,0,100,0,0,0,
5,1940-001,194000105,PANEL B,Panel B - Combined Visit,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1940-001,194001,PANEL B,Panel B - Combined Visit,6,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,PSLC,NO,,NO,2006,,,,,,,,,,,,,,,,
1,1941-001,194101,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,1941-001,194102,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
1,1942-001,194201,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1984,,,,,,,,,,,,,,,,
2,1942-001,194202,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1942-001,194203,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2011,,,,,,,,,,,,,,,,
4,1942-001,194205,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,600,0,0,0,0,0,300,900
5,1942-001,194200105,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1943-001,194301,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,1943-001,194302,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
3,1943-001,194300103,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1944-001,194401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,PSLC,NO,,NO,2002,,,,,,,,,,,,,,,,
2,1944-001,194400102,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2010,,,,,,,,,,,,,,,,
3,1944-001,194400103,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1944-002,194402,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
2,1944-002,194403,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,1200,0,0,100,0,0,0,1300
3,1944-002,194404,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,300,0,0,100,0,0,0,400
4,1944-002,194405,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1945-001,194501,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1945-001,194502,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1945-001,194503,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,1945-001,194504,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1945-001,194500105,PANEL A,Panel A - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1946-001,194601,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,3,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1946-001,194603,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,3,YES,NO,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,1350,0,0,0,0,0,0,1350
3,1946-001,194604,PANEL B,Panel B - 2 Visits,3,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 4,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,0,0,0,0,0,0,0,0
1,1947-001,194701,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2002,,,,,,,,,,,,,,,,
2,1947-001,194702,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1947-001,194703,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1947-001,194700104,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1948-001,194801,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1948-001,194802,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2012,,,,,,,,,,,,,,,,
3,1948-001,194800103,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1949-001,194901,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1945,,,,,,,,,,,,,,,,
1,1949-002,194902,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1949-002,194903,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 6,NONE,YES,,YES,,CHURCH / MISSION SCHOOL,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,500,0,300,0,0,150,950
3,1949-002,194906,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,2011,,,,,,,,,,,,,,,,
4,1949-002,194904,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,CHURCH / MISSION SCHOOL,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,500,0,300,0,0,150,950
5,1949-002,194905,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,1949-002,194900206,PANEL A,Panel A - 2 Visits,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1950-001,195001,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1950-001,195002,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1950-001,195003,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,1650,1000,0,0,0,0,50,2700
1,1951-001,195101,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
2,1951-001,195100102,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1951-001,195100103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,1951-001,195100104,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1951-002,195102,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1951-002,195103,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,10,MINUTE,YES,1800,0,35,0,0,0,0,0,500,
3,1951-002,195104,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,10,MINUTE,NO,1350,0,0,0,0,0,0,0,50,1400
1,1952-001,195201,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,NO,1952,,,,,,,,,,,,,,,,
2,1952-001,195202,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1968,,,,,,,,,,,,,,,,
1,1953-001,195300101,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1953-001,195301,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,1953-002,195300201,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1953-002,195300202,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1953-002,195300203,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,1953-002,195302,PANEL A,Panel A - 2 Visits,4,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
5,1953-002,195300205,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,1953-002,195300206,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,2,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
7,1953-002,195300207,PANEL A,Panel A - 2 Visits,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1953-002,195300208,PANEL A,Panel A - 2 Visits,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1954-001,195401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1954-001,195402,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1954-001,195405,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,1000,700,0,50,0,0,0,1750
4,1954-001,195406,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,100,700,0,50,0,0,0,850
5,1954-001,195407,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,,,,,,,,,,
1,1954-003,195403,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2001,,,,,,,,,,,,,,,,
2,1954-003,195400302,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
3,1954-003,195400303,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1954-004,195404,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,1954-004,195400402,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1954-004,195400403,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1955-001,195500101,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1982,,,,,,,,,,,,,,,,
2,1955-001,195501,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1955-001,195500103,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1956-001,195601,PANEL B,Panel B - Combined Visit,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,1956-001,195602,PANEL B,Panel B - Combined Visit,2,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
3,1956-001,195603,PANEL B,Panel B - Combined Visit,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1956-001,195600104,PANEL B,Panel B - Combined Visit,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1956-001,195600105,PANEL B,Panel B - Combined Visit,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,15,MINUTE,NO,0,0,500,0,0,500,0,0,0,
1,1957-002,195702,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2000,,,,,,,,,,,,,,,,
2,1957-002,195703,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,1957-002,195704,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1957-002,195700204,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1958-002,195802,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
2,1958-002,195803,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,20,960,610,0,100,0,0,0,1670
3,1958-002,195804,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,20,420,500,0,100,0,0,0,940
4,1958-002,195805,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,NURSERY / PRE SCHOOL,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,0,500,0,100,0,0,0,600
5,1958-002,195806,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1959-001,197701,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
