occ,y2_hhid,qx_type,interview_status,ag_nr00,ag_nr02,ag_nr03
1,1620-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1620-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
3,1620-001,PANEL B,Panel B - 2 Visits,N03,ROADSIDE,NEAR THE VILLAGE
4,1620-001,PANEL B,Panel B - 2 Visits,N04,DISTRICT VETERINARY,WITHIN THE VILLAGE
5,1620-001,PANEL B,Panel B - 2 Visits,N05,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
6,1620-001,PANEL B,Panel B - 2 Visits,N06,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,1621-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1623-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
2,1623-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
3,1623-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN MAIN MARKET,WITHIN THE VILLAGE
4,1623-001,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1625-001,PANEL A,Panel A - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,1627-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,1627-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,1627-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,1627-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,NEAR THE VILLAGE
1,1627-003,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,1627-003,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
3,1627-003,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,1627-003,PANEL A,Panel A - 2 Visits,N04,ROADSIDE,WITHIN THE VILLAGE
1,1628-001,PANEL B,Panel B - Combined Visit,N01,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
2,1628-001,PANEL B,Panel B - Combined Visit,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,1628-001,PANEL B,Panel B - Combined Visit,N03,RELATIVE,WITHIN THE VILLAGE
4,1628-001,PANEL B,Panel B - Combined Visit,N04,MOBILE MARKET,WITHIN THE VILLAGE
1,1629-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,NEAR THE VILLAGE
2,1629-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
3,1629-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,1629-001,PANEL A,Panel A - 2 Visits,N04,FARMER BASED CLUB/ASSOCIATION,NEAR THE VILLAGE
5,1629-001,PANEL A,Panel A - 2 Visits,N05,FRIEND/NEIGHBOR,NEAR THE VILLAGE
6,1629-001,PANEL A,Panel A - 2 Visits,N06,OTHER (SPECIFY),NEAR THE TOWN
7,1629-001,PANEL A,Panel A - 2 Visits,N07,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
8,1629-001,PANEL A,Panel A - 2 Visits,N08,PARASTATAL ORGANIZATION,NEAR THE TOWN
9,1629-001,PANEL A,Panel A - 2 Visits,N09,RELATIVE,WITHIN THE VILLAGE
1,1631-001,PANEL A,Panel A - 2 Visits,N01,PARASTATAL ORGANIZATION,WITHIN THE VILLAGE
1,1633-004,PANEL A,Panel A - Combined Visit,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,1633-004,PANEL A,Panel A - Combined Visit,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,1633-004,PANEL A,Panel A - Combined Visit,N03,MOBILE MARKET,NEAR THE TOWN
4,1633-004,PANEL A,Panel A - Combined Visit,N04,PRIVATE VETERINARY,OUTSIDE THE DISTRICT
5,1633-004,PANEL A,Panel A - Combined Visit,N05,MOBILE MARKET,NEAR THE VILLAGE
6,1633-004,PANEL A,Panel A - Combined Visit,N06,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
1,1633-006,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,1633-006,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,1633-006,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,1633-006,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,1633-006,PANEL A,Panel A - 2 Visits,N05,LOCAL MARKET,NEAR THE VILLAGE
1,1635-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
2,1635-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
1,1636-001,PANEL B,Panel B - 2 Visits,N01,MOBILE MARKET,WITHIN THE VILLAGE
2,1636-001,PANEL B,Panel B - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
3,1636-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,NEAR THE VILLAGE
4,1636-001,PANEL B,Panel B - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
1,1637-001,PANEL A,Panel A - 2 Visits,N01,MOBILE MARKET,NEAR THE VILLAGE
1,1645-003,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1645-003,PANEL A,Panel A - 2 Visits,N02,OTHER (SPECIFY),WITHIN THE VILLAGE
3,1645-003,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,1645-003,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1647-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,1647-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1647-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,1647-001,PANEL A,Panel A - 2 Visits,N04,MOBILE MARKET,WITHIN THE VILLAGE
1,1648-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1649-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1649-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1650-001,PANEL B,Panel B - 2 Visits,N01,OTHER (SPECIFY),WITHIN THE VILLAGE
2,1650-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
3,1650-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1651-002,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1651-002,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,WITHIN THE VILLAGE
3,1651-002,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
1,1652-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
2,1652-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
3,1652-001,PANEL B,Panel B - 2 Visits,N03,GOVERNMENT AGENCY,NEAR THE DISTRICT/URBAN CENTER
4,1652-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
5,1652-001,PANEL B,Panel B - 2 Visits,N05,MONEY LENDER/KATAPILA,OUTSIDE THE DISTRICT
6,1652-001,PANEL B,Panel B - 2 Visits,N06,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1653-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1653-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1653-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1659-005,PANEL A,Panel A - Combined Visit,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1659-005,PANEL A,Panel A - Combined Visit,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,1659-005,PANEL A,Panel A - Combined Visit,N03,MAIN MARKET,NEAR THE VILLAGE
4,1659-005,PANEL A,Panel A - Combined Visit,N04,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
1,1661-001,PANEL A,Panel A - 2 Visits,N01,OTHER (SPECIFY),OUTSIDE THE DISTRICT
2,1661-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,1661-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
1,1662-001,PANEL B,Panel B - 2 Visits,,,
1,1666-006,PANEL B,Panel B - Combined Visit,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,1666-006,PANEL B,Panel B - Combined Visit,N02,MOBILE MARKET,NEAR THE VILLAGE
1,1669-001,PANEL A,Panel A - 2 Visits,N01,RELIGIOUS GROUP/INSTITUTION,WITHIN THE VILLAGE
2,1669-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,1669-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,1669-004,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,1669-004,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1669-004,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
4,1669-004,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
1,1669-005,PANEL A,Panel A - Combined Visit,N01,GOVERNMENT AGENCY,WITHIN THE VILLAGE
2,1669-005,PANEL A,Panel A - Combined Visit,N02,COMMERCIAL BANK,OUTSIDE THE DISTRICT
1,1675-005,PANEL A,Panel A - 2 Visits,,,
1,1676-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,1676-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,1676-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MERCHANT/GROCERY,WITHIN THE VILLAGE
1,1677-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,OUTSIDE THE REGION
2,1677-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,OUTSIDE THE REGION
3,1677-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,OUTSIDE THE REGION
4,1677-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,OUTSIDE THE REGION
5,1677-001,PANEL A,Panel A - 2 Visits,N05,PRIVATE COMPANY/BUSINESS PERSON,OUTSIDE THE REGION
1,1677-003,PANEL A,Panel A - 2 Visits,N01,,
1,1678-001,PANEL B,Panel B - 2 Visits,,,
1,1679-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,NEAR THE TOWN
2,1679-001,PANEL A,Panel A - 2 Visits,N02,RELIGIOUS GROUP/INSTITUTION,NEAR THE TOWN
3,1679-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,OUTSIDE THE DISTRICT
4,1679-001,PANEL A,Panel A - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
5,1679-001,PANEL A,Panel A - 2 Visits,N05,PARASTATAL ORGANIZATION,NEAR THE TOWN
6,1679-001,PANEL A,Panel A - 2 Visits,N06,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
7,1679-001,PANEL A,Panel A - 2 Visits,N07,MOBILE MARKET,NEAR THE TOWN
1,1680-001,PANEL B,Panel B - 2 Visits,N01,LOCAL MARKET,WITHIN THE VILLAGE
2,1680-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,1682-002,PANEL B,Panel B - Combined Visit,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,1683-002,PANEL A,Panel A - Combined Visit,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,1683-002,PANEL A,Panel A - Combined Visit,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,1683-002,PANEL A,Panel A - Combined Visit,N03,RELATIVE,NEAR THE TOWN
4,1683-002,PANEL A,Panel A - Combined Visit,N04,RELATIVE,NEAR THE TOWN
5,1683-002,PANEL A,Panel A - Combined Visit,N05,MOBILE MARKET,NEAR THE VILLAGE
6,1683-002,PANEL A,Panel A - Combined Visit,N06,MOBILE MARKET,NEAR THE VILLAGE
1,1683-004,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1685-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE TOWN
2,1685-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1685-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,NEAR THE TOWN
1,1687-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,OUTSIDE THE REGION
1,1688-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
2,1688-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,1688-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,1688-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1688-005,PANEL B,Panel B - Combined Visit,N01,RELATIVE,WITHIN THE VILLAGE
2,1688-005,PANEL B,Panel B - Combined Visit,N02,RELATIVE,WITHIN THE VILLAGE
3,1688-005,PANEL B,Panel B - Combined Visit,N03,FRIEND/NEIGHBOR,NEAR THE VILLAGE
4,1688-005,PANEL B,Panel B - Combined Visit,N04,RELATIVE,WITHIN THE VILLAGE
5,1688-005,PANEL B,Panel B - Combined Visit,N05,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
6,1688-005,PANEL B,Panel B - Combined Visit,N06,RELATIVE,WITHIN THE VILLAGE
1,1691-001,PANEL A,Panel A - 2 Visits,,,
1,1691-003,PANEL A,Panel A - Combined Visit,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1691-003,PANEL A,Panel A - Combined Visit,N02,PARASTATAL ORGANIZATION,WITHIN THE VILLAGE
3,1691-003,PANEL A,Panel A - Combined Visit,N03,RELIGIOUS GROUP/INSTITUTION,WITHIN THE VILLAGE
1,1692-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,NEAR THE DISTRICT/URBAN CENTER
2,1692-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,NEAR THE VILLAGE
3,1692-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,1692-001,PANEL B,Panel B - 2 Visits,N04,RELATIVE,NEAR THE VILLAGE
1,1693-003,PANEL A,Panel A - Combined Visit,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,1693-003,PANEL A,Panel A - Combined Visit,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,1693-003,PANEL A,Panel A - Combined Visit,N03,RELATIVE,WITHIN THE VILLAGE
1,1697-003,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE DISTRICT/URBAN CENTER
2,1697-003,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1698-009,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,1698-009,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,1698-009,PANEL B,Panel B - 2 Visits,N03,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
4,1698-009,PANEL B,Panel B - 2 Visits,N04,RELATIVE,NEAR THE VILLAGE
1,1698-010,PANEL B,Panel B - Combined Visit,N01,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
2,1698-010,PANEL B,Panel B - Combined Visit,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1701-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
1,1705-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,WITHIN THE VILLAGE
2,1705-001,PANEL A,Panel A - 2 Visits,N02,MAIN MARKET,NEAR THE VILLAGE
1,1707-003,PANEL A,Panel A - Combined Visit,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1707-003,PANEL A,Panel A - Combined Visit,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,1707-003,PANEL A,Panel A - Combined Visit,N03,RELATIVE,WITHIN THE VILLAGE
4,1707-003,PANEL A,Panel A - Combined Visit,N04,LOCAL MARKET,NEAR THE VILLAGE
1,1708-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE TOWN
2,1708-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,NEAR THE TOWN
3,1708-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
1,1710-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
2,1710-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
3,1710-001,PANEL B,Panel B - 2 Visits,N03,VDC MEMBER,WITHIN THE VILLAGE
1,1714-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE TOWN
2,1714-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1715-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,NEAR THE VILLAGE
2,1715-001,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,1715-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
1,1716-005,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1716-005,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,1716-005,PANEL B,Panel B - 2 Visits,N03,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
4,1716-005,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,NEAR THE VILLAGE
5,1716-005,PANEL B,Panel B - 2 Visits,N05,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1717-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
2,1717-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
3,1717-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,NEAR THE VILLAGE
1,1717-002,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,1717-002,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,1717-002,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
4,1717-002,PANEL A,Panel A - 2 Visits,N04,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
1,1719-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
2,1719-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1719-009,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1719-009,PANEL A,Panel A - 2 Visits,N02,RELATIVE,OUTSIDE THE DISTRICT
3,1719-009,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,1720-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
2,1720-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,OUTSIDE THE DISTRICT
3,1720-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,OUTSIDE THE DISTRICT
1,1722-002,PANEL B,Panel B - 2 Visits,N01,OTHER (SPECIFY),NEAR THE TOWN
2,1722-002,PANEL B,Panel B - 2 Visits,N02,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
3,1722-002,PANEL B,Panel B - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
1,1723-001,PANEL A,Panel A - 2 Visits,N01,MOBILE MARKET,WITHIN THE VILLAGE
2,1723-001,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1724-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
2,1724-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
1,1725-001,PANEL A,Panel A - Combined Visit,N01,RELATIVE,WITHIN THE VILLAGE
2,1725-001,PANEL A,Panel A - Combined Visit,N02,RELATIVE,WITHIN THE VILLAGE
3,1725-001,PANEL A,Panel A - Combined Visit,N03,TRADITIONAL AUTHORITY,WITHIN THE VILLAGE
1,1726-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1727-003,PANEL A,Panel A - 2 Visits,N01,MAIN MARKET,NEAR THE TOWN
2,1727-003,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
3,1727-003,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,NEAR THE TOWN
1,1728-003,PANEL B,Panel B - Combined Visit,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,1728-003,PANEL B,Panel B - Combined Visit,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,1728-003,PANEL B,Panel B - Combined Visit,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,1728-003,PANEL B,Panel B - Combined Visit,N04,MOBILE MARKET,NEAR THE TOWN
5,1728-003,PANEL B,Panel B - Combined Visit,N05,MOBILE MARKET,NEAR THE TOWN
6,1728-003,PANEL B,Panel B - Combined Visit,N06,RELATIVE,WITHIN THE VILLAGE
7,1728-003,PANEL B,Panel B - Combined Visit,N07,LOCAL MERCHANT/GROCERY,NEAR THE VILLAGE
8,1728-003,PANEL B,Panel B - Combined Visit,N08,MOBILE MARKET,NEAR THE TOWN
9,1728-003,PANEL B,Panel B - Combined Visit,N09,MOBILE MARKET,NEAR THE TOWN
10,1728-003,PANEL B,Panel B - Combined Visit,N10,MOBILE MARKET,NEAR THE TOWN
11,1728-003,PANEL B,Panel B - Combined Visit,N11,MOBILE MARKET,NEAR THE TOWN
1,1729-001,PANEL A,Panel A - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE DISTRICT/URBAN CENTER
2,1729-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
3,1729-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1730-001,PANEL B,Panel B - 2 Visits,,,
1,1731-001,PANEL A,Panel A - Combined Visit,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1731-001,PANEL A,Panel A - Combined Visit,N02,LOCAL MARKET,NEAR THE VILLAGE
1,1732-001,PANEL B,Panel B - 2 Visits,N01,EMPLOYER,NEAR THE TOWN
2,1732-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,NEAR THE TOWN
1,1733-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,NEAR THE TOWN
2,1733-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1733-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,1735-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
1,1738-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,1738-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
3,1738-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
4,1738-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,1738-001,PANEL B,Panel B - 2 Visits,N05,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,1742-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1742-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,NEAR THE VILLAGE
3,1742-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
4,1742-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
5,1742-001,PANEL B,Panel B - 2 Visits,N05,LOCAL MARKET,WITHIN THE VILLAGE
6,1742-001,PANEL B,Panel B - 2 Visits,N06,MOBILE MARKET,WITHIN THE VILLAGE
7,1742-001,PANEL B,Panel B - 2 Visits,N07,FRIEND/NEIGHBOR,NEAR THE VILLAGE
8,1742-001,PANEL B,Panel B - 2 Visits,N08,FRIEND/NEIGHBOR,NEAR THE VILLAGE
9,1742-001,PANEL B,Panel B - 2 Visits,N09,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,1743-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
2,1743-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,1743-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
