occ,y2_hhid,qx_type,interview_status,ag_g0a,ag_g00,ag_g0b,ag_g0e,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08c,ag_g09a,ag_g09b,ag_g09c,ag_g10,ag_g11a,ag_g11b,ag_g13a,ag_g13b,ag_g13c,ag_g12a,ag_g12b,ag_g14a,ag_g14b
3,1291-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,4,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,IRREGULAR RAINS,,1,PAIL (SMALL),SHELLED,MAY,MAY,1,
4,1291-001,PANEL A,Panel A - 2 Visits,YES,R01,OTHER (SPECIFY),4,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,1,50 KG BAG,UNSHELLED,MAY,MAY,1,
5,1291-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,4,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,8,50 KG BAG,UNSHELLED,YES,OTHER (SPECIFY),,7,50 KG BAG,UNSHELLED,MAY,MAY,1,
1,1292-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,,,10,KILOGRAM,JANUARY,2013,NO,3,OXCART,UNSHELLED,,,,NO,,,1,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1292-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,,,3,KILOGRAM,JANUARY,2013,NO,2,50 KG BAG,NOT APPLICABLE,,,,NO,,,3,PAIL (LARGE),NOT APPLICABLE,APRIL,MAY,1,2
1,1293-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2013,YES,,,,1,OXCART,UNSHELLED,YES,IRREGULAR RAINS,,2,OX-CART,UNSHELLED,MAY,MAY,1,
2,1293-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,2,PURE STAND,,,25,KILOGRAM,DECEMBER,2013,YES,,,,4,50 KG BAG,UNSHELLED,NO,,,8,50 KG BAG,UNSHELLED,JUNE,JUNE,1,
1,1294-001,PANEL B,Panel B - 2 Visits,YES,R01,IRISH [MALAWI] POTATO,1,PURE STAND,,,20,KILOGRAM,NOVEMBER,2012,YES,,,,5,50 KG BAG,NOT APPLICABLE,NO,,,6,50 KG BAG,NOT APPLICABLE,MARCH,MARCH,1,
2,1294-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,12,KILOGRAM,NOVEMBER,2012,YES,,,,12,50 KG BAG,SHELLED,,,,,,,,,,
1,1294-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1294-003,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,2,MIXED STAND,NO,1/4,10,GRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),NOT APPLICABLE,YES,ANIMALS,,0,,,,,,
1,1295-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,8,KILOGRAM,DECEMBER,2012,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,4,50 KG BAG,SHELLED,MAY,MAY,1,2
1,1296-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,30,KILOGRAM,DECEMBER,2012,YES,,,,5,OXCART,UNSHELLED,,,,,,,,,,
2,1296-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,40,KILOGRAM,DECEMBER,2012,YES,,,,46,50 KG BAG,UNSHELLED,NO,,,49,50 KG BAG,UNSHELLED,JULY,JULY,1,
1,1297-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,YES,,,,1.5,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,2,OX-CART,UNSHELLED,JUNE,JUNE,1,2
2,1297-001,PANEL A,Panel A - 2 Visits,YES,R02,TOBACCO BURLEY,2,MIXED STAND,YES,,6,GRAM,NOVEMBER,2012,YES,,,,3,BALE,NOT APPLICABLE,YES,OTHER (SPECIFY),,100,KILOGRAM,NOT APPLICABLE,MARCH,APRIL,1,2
3,1297-001,PANEL A,Panel A - 2 Visits,YES,R02,NKHWANI,2,MIXED STAND,YES,,500,GRAM,NOVEMBER,2012,YES,,,,6,50 KG BAG,NOT APPLICABLE,NO,,,10,PAIL (LARGE),NOT APPLICABLE,JANUARY,JULY,1,2
4,1297-001,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE HYBRID,2,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,YES,,,,2,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,JULY,JULY,1,2
5,1297-001,PANEL A,Panel A - 2 Visits,YES,R04,GROUNDNUT CG7,2,MIXED STAND,YES,,25,KILOGRAM,NOVEMBER,2012,YES,,,,20,50 KG BAG,UNSHELLED,YES,OTHER (SPECIFY),,1,50 KG BAG,UNSHELLED,JULY,JULY,1,2
6,1297-001,PANEL A,Panel A - 2 Visits,YES,R04,SOYABEAN,2,MIXED STAND,NO,1/4,2,2 KG BAG,NOVEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,OTHER (SPECIFY),,1,PAIL (LARGE),SHELLED,JULY,JULY,1,2
7,1297-001,PANEL A,Panel A - 2 Visits,YES,R05,SWEET POTATO,2,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,YES,,,,20,50 KG BAG,NOT APPLICABLE,NO,,,4,PAIL (LARGE),NOT APPLICABLE,JULY,JULY,1,2
1,1297-002,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,KILOGRAM,NOVEMBER,2012,YES,,,,7,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,7,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1297-002,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,8,KILOGRAM,NOVEMBER,2012,YES,,,,10,PAIL (LARGE),NOT APPLICABLE,NO,,,6,PAIL (LARGE),NOT APPLICABLE,DECEMBER,JULY,1,2
3,1297-002,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,20,KILOGRAM,NOVEMBER,2012,YES,,,,12,50 KG BAG,UNSHELLED,NO,,,36,50 KG BAG,UNSHELLED,JUNE,JUNE,1,2
4,1297-002,PANEL A,Panel A - 2 Visits,YES,R03,SWEET POTATO,1,PURE STAND,,,2,GRAM,DECEMBER,2012,YES,,,,2,OXCART,NOT APPLICABLE,NO,,,2,OX-CART,NOT APPLICABLE,JUNE,JUNE,1,2
1,1297-003,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,JANUARY,2013,YES,,,,2.5,OXCART,UNSHELLED,NO,,,2,OX-CART,UNSHELLED,JUNE,JUNE,1,2
2,1297-003,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID RECYCLED,1,PURE STAND,,,5,KILOGRAM,JANUARY,2013,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,5,50 KG BAG,SHELLED,MARCH,MARCH,1,2
1,1298-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,10,KILOGRAM,JANUARY,2013,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,JUNE,JUNE,1,
2,1298-002,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,50,GRAM,JANUARY,2013,YES,,,,6,PAIL (LARGE),NOT APPLICABLE,NO,,,5,PAIL (SMALL),NOT APPLICABLE,JANUARY,JUNE,1,
3,1298-002,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,1,MIXED STAND,YES,,10,KILOGRAM,JANUARY,2013,YES,,,,6,50 KG BAG,UNSHELLED,YES,DISEASES,,3,50 KG BAG,UNSHELLED,JUNE,JULY,1,
4,1298-002,PANEL B,Panel B - 2 Visits,YES,R02,NKHWANI,1,MIXED STAND,YES,,60,GRAM,JANUARY,2013,YES,,,,4,PAIL (LARGE),NOT APPLICABLE,NO,,,3,PAIL (SMALL),NOT APPLICABLE,JANUARY,JUNE,1,
5,1298-002,PANEL B,Panel B - 2 Visits,YES,R02,OTHER (SPECIFY),1,MIXED STAND,YES,,1,GRAM,JANUARY,2013,YES,,,,1,50 KG BAG,SHELLED,YES,DISEASES,,1,50 KG BAG,SHELLED,JULY,JULY,1,
1,1299-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1300-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,15,KILOGRAM,NOVEMBER,2012,YES,,,,2,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,2,OX-CART,UNSHELLED,APRIL,APRIL,1,2
2,1300-001,PANEL B,Panel B - 2 Visits,YES,R01,SOYABEAN,2,MIXED STAND,NO,LESS THAN 1/4,2,KILOGRAM,NOVEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,3,PAIL (LARGE),SHELLED,APRIL,APRIL,1,2
3,1300-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,2,MIXED STAND,NO,LESS THAN 1/4,3,KILOGRAM,NOVEMBER,2012,YES,,,,2,50 KG BAG,NOT APPLICABLE,NO,,,2,PAIL (LARGE),NOT APPLICABLE,APRIL,APRIL,1,2
4,1300-001,PANEL B,Panel B - 2 Visits,YES,R01,BEANS,2,MIXED STAND,NO,LESS THAN 1/4,5,KILOGRAM,NOVEMBER,2012,YES,,,,30,50 KG BAG,SHELLED,NO,,,1,PAIL (LARGE),UNSHELLED,MARCH,APRIL,1,2
5,1300-001,PANEL B,Panel B - 2 Visits,YES,R02,TOBACCO BURLEY,2,MIXED STAND,YES,,2,OTHER (SPECIFY),DECEMBER,2012,YES,,,,1,BALE,NOT APPLICABLE,NO,,,97,KILOGRAM,NOT APPLICABLE,JANUARY,MARCH,1,2
6,1300-001,PANEL B,Panel B - 2 Visits,YES,R02,NKHWANI,2,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,YES,,,,2,50 KG BAG,NOT APPLICABLE,NO,,,2,PAIL (LARGE),NOT APPLICABLE,JANUARY,APRIL,1,2
7,1300-001,PANEL B,Panel B - 2 Visits,YES,R03,GROUNDNUT CG7,2,MIXED STAND,YES,,20,KILOGRAM,NOVEMBER,2012,YES,,,,6,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,MAY,JUNE,1,2
8,1300-001,PANEL B,Panel B - 2 Visits,YES,R03,SOYABEAN,2,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,YES,,,,3,KILOGRAM,UNSHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,JUNE,1,2
1,1301-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,1,10 KG BAG,NOVEMBER,2012,YES,,,,6,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,JUNE,JUNE,1,
2,1301-001,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,NO,LESS THAN 1/4,2,GRAM,NOVEMBER,2012,YES,,,,10,BUNCH,NOT APPLICABLE,NO,,,3,PAIL (SMALL),NOT APPLICABLE,JANUARY,MARCH,1,
3,1301-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,MIXED STAND,YES,,1,2 KG BAG,NOVEMBER,2012,YES,,,,2.5,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,2,50 KG BAG,UNSHELLED,MAY,MAY,1,
4,1301-001,PANEL A,Panel A - 2 Visits,YES,R02,OTHER (SPECIFY),1,MIXED STAND,NO,LESS THAN 1/4,.5,KILOGRAM,NOVEMBER,2012,YES,,,,15,50 KG BAG,SHELLED,NO,,,10,KILOGRAM,SHELLED,MARCH,MARCH,1,
1,1302-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,PURE STAND,,,10,KILOGRAM,NOVEMBER,2012,YES,,,,6,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,2,OX-CART,UNSHELLED,JUNE,JUNE,1,2
1,1302-005,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,5,KILOGRAM,JANUARY,2013,YES,,,,2.5,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,APRIL,APRIL,1,2
2,1302-005,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),2,MIXED STAND,,,.5,KILOGRAM,JANUARY,2013,YES,,,,2,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,1,PAIL (SMALL),SHELLED,APRIL,APRIL,1,2
3,1302-005,PANEL B,Panel B - 2 Visits,YES,R02,SWEET POTATO,2,PURE STAND,,,50,KILOGRAM,FEBRUARY,2013,YES,,,,10,50 KG BAG,NOT APPLICABLE,NO,,,10,50 KG BAG,NOT APPLICABLE,MAY,MAY,1,2
1,1303-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,3,OXCART,UNSHELLED,NO,,,8,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,1303-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,YES,,,,6,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,APRIL,APRIL,1,2
1,1304-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,3,KILOGRAM,NOVEMBER,2012,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,4,50 KG BAG,SHELLED,JULY,JULY,1,
2,1304-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,9,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,SHELLED,JULY,JULY,1,
3,1304-001,PANEL B,Panel B - 2 Visits,YES,R03,SWEET POTATO,1,PURE STAND,,,6,50 KG BAG,DECEMBER,2012,YES,,,,7,50 KG BAG,NOT APPLICABLE,NO,,,4,50 KG BAG,NOT APPLICABLE,JULY,JULY,1,
1,1305-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,7.5,KILOGRAM,DECEMBER,2012,YES,,,,1,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,2,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1305-001,PANEL A,Panel A - 2 Visits,YES,R02,SWEET POTATO,1,PURE STAND,,,.5,KILOGRAM,JANUARY,2013,YES,,,,1,50 KG BAG,NOT APPLICABLE,YES,OTHER (SPECIFY),,2,50 KG BAG,NOT APPLICABLE,JUNE,JUNE,1,2
1,1306-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,25,KILOGRAM,JANUARY,2013,YES,,,,4,OXCART,UNSHELLED,YES,IRREGULAR RAINS,,10,50 KG BAG,SHELLED,JUNE,JUNE,1,2
2,1306-001,PANEL B,Panel B - 2 Visits,YES,R02,TOBACCO BURLEY,1,PURE STAND,,,100,GRAM,JANUARY,2013,YES,,,,400,KILOGRAM,NOT APPLICABLE,YES,IRREGULAR RAINS,,600,KILOGRAM,NOT APPLICABLE,MARCH,APRIL,1,2
3,1306-001,PANEL B,Panel B - 2 Visits,YES,R03,TOBACCO BURLEY,1,PURE STAND,,,100,GRAM,JANUARY,2013,YES,,,,400,KILOGRAM,NOT APPLICABLE,YES,IRREGULAR RAINS,,600,KILOGRAM,NOT APPLICABLE,MARCH,APRIL,1,2
4,1306-001,PANEL B,Panel B - 2 Visits,YES,R04,GROUNDNUT CG7,1,PURE STAND,,,10,KILOGRAM,JANUARY,2013,YES,,,,5,PAIL (LARGE),UNSHELLED,YES,IRREGULAR RAINS,,5,PAIL (LARGE),UNSHELLED,MAY,MAY,1,2
1,1307-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,1,OXCART,UNSHELLED,YES,ANIMALS,,1,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1307-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,2,MIXED STAND,NO,LESS THAN 1/4,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),SHELLED,NO,,,2,PAIL (LARGE),SHELLED,MAY,MAY,1,2
3,1307-001,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,2,MIXED STAND,NO,LESS THAN 1/4,3,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,NOT APPLICABLE,NO,,,4,PAIL (SMALL),NOT APPLICABLE,MAY,MAY,1,2
1,1308-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,NO,1,OXCART,UNSHELLED,,,,YES,OTHER (SPECIFY),DROUGHT,1,OX-CART,UNSHELLED,APRIL,APRIL,1,
2,1308-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,NO,1,OXCART,UNSHELLED,,,,YES,OTHER (SPECIFY),DROUGHT,1,OX-CART,UNSHELLED,APRIL,APRIL,1,
3,1308-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,NO,1,OXCART,UNSHELLED,,,,YES,OTHER (SPECIFY),DROUGHT,1,OX-CART,UNSHELLED,APRIL,APRIL,1,
4,1308-001,PANEL B,Panel B - 2 Visits,YES,R04,TOBACCO BURLEY,1,PURE STAND,,,2,OTHER (SPECIFY),DECEMBER,2012,NO,5,BALE,NOT APPLICABLE,,,,NO,,,5,BALE,NOT APPLICABLE,FEBRUARY,MARCH,1,
5,1308-001,PANEL B,Panel B - 2 Visits,YES,R05,GROUNDNUT CG7,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,NO,10,50 KG BAG,UNSHELLED,,,,YES,DISEASES,INSECTS,4,50 KG BAG,UNSHELLED,APRIL,APRIL,1,
1,1310-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,PURE STAND,,,5,KILOGRAM,NOVEMBER,2012,YES,,,,3,50 KG BAG,UNSHELLED,YES,LACK OF HIRED LABOR,,4,50 KG BAG,UNSHELLED,JUNE,JUNE,1,
1,1311-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,5,KILOGRAM,NOVEMBER,2012,YES,,,,2,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,4,50 KG BAG,SHELLED,MAY,MAY,2,
2,1311-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,2,PURE STAND,,,8,KILOGRAM,NOVEMBER,2012,YES,,,,9,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,MAY,MAY,2,
1,1311-003,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,5,KILOGRAM,OCTOBER,2012,YES,,,,7,50 KG BAG,SHELLED,NO,,,7,50 KG BAG,SHELLED,JUNE,JUNE,1,
1,1312-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,6,KILOGRAM,DECEMBER,2013,NO,1,OXCART,SHELLED,,,,YES,OTHER (SPECIFY),,3,50 KG BAG,SHELLED,MAY,MAY,2,
2,1312-001,PANEL B,Panel B - 2 Visits,YES,R01,SOYABEAN,2,MIXED STAND,YES,,1,3 KG BAG,DECEMBER,2013,YES,,,,1,PAIL (SMALL),UNSHELLED,YES,OTHER (SPECIFY),,5,KILOGRAM,SHELLED,APRIL,APRIL,2,
1,1313-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,NO,1,50 KG BAG,SHELLED,,,,NO,,,1,OX-CART,UNSHELLED,APRIL,APRIL,1,2
1,1314-001,PANEL B,Panel B - Combined Visit,YES,R01,MAIZE HYBRID RECYCLED,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,4,50 KG BAG,SHELLED,JUNE,JUNE,1,2
2,1314-001,PANEL B,Panel B - Combined Visit,YES,R01,NKHWANI,2,MIXED STAND,YES,,100,GRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),NOT APPLICABLE,YES,OTHER (SPECIFY),,1,PAIL (LARGE),NOT APPLICABLE,JANUARY,APRIL,2,
3,1314-001,PANEL B,Panel B - Combined Visit,YES,R01,OTHER (SPECIFY),2,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),SHELLED,YES,OTHER (SPECIFY),,1,PAIL (SMALL),SHELLED,JUNE,JUNE,1,2
4,1314-001,PANEL B,Panel B - Combined Visit,YES,R02,MAIZE LOCAL,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,3,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,3,50 KG BAG,SHELLED,JUNE,JUNE,1,2
5,1314-001,PANEL B,Panel B - Combined Visit,YES,R02,SOYABEAN,2,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,10,KILOGRAM,SHELLED,YES,OTHER (SPECIFY),,10,KILOGRAM,SHELLED,JULY,JULY,1,2
1,1315-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,NO,2,OXCART,UNSHELLED,,,,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1315-001,PANEL A,Panel A - 2 Visits,YES,R02,TOBACCO BURLEY,1,MIXED STAND,YES,,2,OTHER (SPECIFY),DECEMBER,2012,YES,,,,50,KILOGRAM,NOT APPLICABLE,YES,OTHER (SPECIFY),,1,BALE,NOT APPLICABLE,MARCH,APRIL,1,2
3,1315-001,PANEL A,Panel A - 2 Visits,YES,R02,NKHWANI,1,MIXED STAND,YES,,10,GRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),NOT APPLICABLE,YES,OTHER (SPECIFY),,3,PAIL (LARGE),NOT APPLICABLE,FEBRUARY,APRIL,1,2
4,1315-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT CG7,2,MIXED STAND,,,1,5 KG BAG,DECEMBER,2012,NO,5,50 KG BAG,UNSHELLED,,,,YES,IRREGULAR RAINS,,3,50 KG BAG,UNSHELLED,MARCH,MAY,1,2
5,1315-001,PANEL A,Panel A - 2 Visits,YES,R03,THERERE/OKRA,1,MIXED STAND,YES,,10,GRAM,NOVEMBER,2012,YES,,,,1,PAIL (LARGE),NOT APPLICABLE,NO,,,1,PAIL (SMALL),NOT APPLICABLE,MAY,MAY,1,2
1,1315-003,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,10 KG BAG,NOVEMBER,2012,YES,,,,4,OXCART,UNSHELLED,NO,,,4,OX-CART,UNSHELLED,MAY,MAY,1,
2,1315-003,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,15,KILOGRAM,NOVEMBER,2012,NO,10,50 KG BAG,UNSHELLED,,,,NO,,,4,50 KG BAG,UNSHELLED,MAY,MAY,1,
3,1315-003,PANEL A,Panel A - 2 Visits,YES,R03,TOBACCO BURLEY,1,MIXED STAND,YES,,2,GRAM,NOVEMBER,2012,YES,,,,2,BALE,NOT APPLICABLE,NO,,,2,BALE,NOT APPLICABLE,FEBRUARY,MARCH,1,
4,1315-003,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,YES,,500,GRAM,JANUARY,2013,YES,,,,7,KILOGRAM,SHELLED,NO,,,7,KILOGRAM,SHELLED,APRIL,APRIL,1,
5,1315-003,PANEL A,Panel A - 2 Visits,YES,R03,PEA,1,MIXED STAND,YES,,500,GRAM,JANUARY,2013,YES,,,,2,KILOGRAM,SHELLED,NO,,,2,KILOGRAM,SHELLED,MAY,MAY,1,
6,1315-003,PANEL A,Panel A - 2 Visits,YES,R03,THERERE/OKRA,1,MIXED STAND,YES,,100,GRAM,NOVEMBER,2012,YES,,,,2,OXCART,NOT APPLICABLE,NO,,,8,PAIL (LARGE),NOT APPLICABLE,JANUARY,MARCH,1,
7,1315-003,PANEL A,Panel A - 2 Visits,YES,R03,NKHWANI,1,MIXED STAND,YES,,200,GRAM,NOVEMBER,2012,YES,,,,2,OXCART,NOT APPLICABLE,NO,,,2,OX-CART,NOT APPLICABLE,JANUARY,JULY,1,
8,1315-003,PANEL A,Panel A - 2 Visits,YES,R04,SWEET POTATO,1,MIXED STAND,NO,3/4,15,KILOGRAM,FEBRUARY,2013,YES,,,,3,50 KG BAG,NOT APPLICABLE,NO,,,3,50 KG BAG,NOT APPLICABLE,MARCH,APRIL,1,
9,1315-003,PANEL A,Panel A - 2 Visits,YES,R04,SOYABEAN,1,MIXED STAND,NO,LESS THAN 1/4,1,KILOGRAM,FEBRUARY,2013,YES,,,,1,PAIL (SMALL),SHELLED,NO,,,1,PAIL (SMALL),SHELLED,APRIL,APRIL,1,
1,1315-005,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,NO,2,OXCART,UNSHELLED,,,,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,MAY,MAY,1,
2,1315-005,PANEL A,Panel A - 2 Visits,YES,R02,TOBACCO BURLEY,1,PURE STAND,,,2,OTHER (SPECIFY),DECEMBER,2012,YES,,,,2,OXCART,NOT APPLICABLE,YES,OTHER (SPECIFY),,2,BALE,NOT APPLICABLE,JANUARY,MARCH,1,
1,1316-001,PANEL B,Panel B - 2 Visits,YES,R01,TOBACCO BURLEY,1,MIXED STAND,YES,,4,GRAM,DECEMBER,2012,YES,,,,80,50 KG BAG,NOT APPLICABLE,YES,OTHER (SPECIFY),,1,BALE,NOT APPLICABLE,FEBRUARY,MARCH,1,
2,1316-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,5,GRAM,DECEMBER,2012,YES,,,,2,PAIL (LARGE),NOT APPLICABLE,YES,INSECTS,,2,PAIL (SMALL),NOT APPLICABLE,DECEMBER,JANUARY,1,
3,1316-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,NO,5,PAIL (LARGE),UNSHELLED,,,,YES,IRREGULAR RAINS,,5,PAIL (LARGE),UNSHELLED,APRIL,APRIL,1,
