HHID,case_id,ea_id,qx_type,visit,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
1679,210487640147,21048764,Panel A,1,Yes,MAIZE HYBRID,,3,Acre,No,,,,,90,50 kg bag,,Shelled,May,May,Yes,30,50 kg Bag,,S: Shelled,45000,1,,0,10,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,10,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1685,210487640179,21048764,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,9,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,4,50 kg Bag,,S: Shelled,0,,,,Yes,0,,,,,,,,,,,
1667,210487640200,21048764,Panel A,1,Yes,MAIZE HYBRID,,1.25,Acre,No,,,,,20,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,5,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1678,210512030007,21051203,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,210512030021,21051203,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,2,Ox-cart,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,2,50 kg Bag,,S: Shelled,1,50 kg Bag,,S: Shelled,Yes,2,50 kg Bag,,S: Shelled,,,,,,,,
1686,210512030065,21051203,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,5,50 kg bag,,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,4,50 kg Bag,,S: Shelled,4,50 kg Bag,,S: Shelled,Yes,2,50 kg Bag,,S: Shelled,,,,,,,,
1676,210512030108,21051203,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,32,50 kg bag,,Shelled,May,May,Yes,10,50 kg Bag,,S: Shelled,20000,2,,6000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,3,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1674,210512030181,21051203,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,210512030210,21051203,Panel B,1,Yes,MAIZE HYBRID,,2,Acre,No,,,,,4,Ox-cart,,Unshelled,March,April,Yes,2,50 kg Bag,,S: Shelled,2000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1682,210512030210,21051203,Panel B,1,Yes,MAIZE LOCAL,,2,Acre,No,,,,,1,Ox-cart,,Unshelled,April,April,No,,,,,,,,,50,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,3,50 kg Bag,,S: Shelled,Yes,2,50 kg Bag,,S: Shelled,,,,,,,,
1666,210512030253,21051203,Panel B,1,Yes,SOYABEAN,,.5,Acre,No,,,,,25,50 kg bag,,Shelled,July,August,Yes,25,50 kg Bag,,S: Shelled,25000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
1666,210512030253,21051203,Panel B,1,Yes,GROUNDNUT CHALIMBANA,,1,Acre,No,,,,,15,50 kg bag,,Unshelled,July,July,Yes,14,50 kg Bag,,U: Unshelled,21000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
1666,210512030253,21051203,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,36,50 kg bag,,Shelled,June,July,Yes,20,50 kg Bag,,S: Shelled,30000,1,,0,6,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1717,210524270049,21052427,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,1,50 kg bag,,Shelled,May,May,Yes,1,Pail (large),,S: Shelled,2500,1,2,0,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,10,Pail (large),,S: Shelled,,Theft,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,1,50 kg Bag,,S: Shelled,No,,,,,0,,,,0,,,
1723,210524270056,21052427,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,210524270105,21052427,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,210524270130,21052427,Panel A,1,Yes,MAIZE LOCAL,,.2,Acre,Yes,Crop theft,,Fire,,0,,,,,,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,100,Theft,,Lack of transportation,,No,,,,,,,,,,,Food for household,,,,Yes,25,Kilogram,,S: Shelled,1,50 kg Bag,,S: Shelled,No,,,,,40,Kilogram,,S: Shelled,1,Pail (large),,S: Shelled
1719,210524270133,21052427,Panel A,1,Yes,GROUNDNUT MANIPINTA,,.2,Acre,No,,,,,2,50 kg bag,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
1719,210524270133,21052427,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,12,50 kg bag,,Shelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,8,50 kg Bag,,S: Shelled,No,,,,,3,50 kg Bag,,S: Shelled,3,50 kg Bag,,S: Shelled
1705,210524270222,21052427,Panel A,1,Yes,MAIZE HYBRID,,.25,Acre,No,,,,,3,Pail (large),,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,1,50 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,1,50 kg Bag,,S: Shelled
1711,210524270224,21052427,Panel A,1,Yes,MAIZE HYBRID,,10,Acre,No,,,,,12,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,4,50 kg Bag,,S: Shelled,30,Rodents/Pests,,,,No,,,,,,,,,,,Food for household,,,,Yes,5,50 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,0,,,
1702,210537450001,21053745,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,210537450023,21053745,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,15,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,50 kg Bag,,S: Shelled,No,,,,,4,50 kg Bag,,S: Shelled,2,50 kg Bag,,S: Shelled
1692,210537450030,21053745,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,210537450059,21053745,Panel B,1,Yes,MAIZE LOCAL,,2,Acre,No,,,,,3,Ox-cart,,Unshelled,May,May,No,,,,,,,,,4,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,1,50 kg Bag,,S: Shelled,0,,,
1688,210537450133,21053745,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,15,50 kg bag,,Shelled,April,April,No,,,,,,,,,3,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,10,50 kg Bag,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,10,50 kg Bag,,S: Shelled,0,,,
1714,210537450147,21053745,Panel B,1,Yes,MAIZE HYBRID,,2,Acre,Yes,Other (Specify),INADEQUATE WEEDING,,,30,50 kg bag,,Shelled,April,April,No,,,,,,,,,10,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,1,50 kg Bag,,S: Shelled
1748,210552410123,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,210552410148,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,210552410174,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,210552410199,21055241,Panel B,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,3000,Kilogram,,Unshelled,May,May,No,,,,,,,,,7,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,25,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,4,50 kg Bag,,S: Shelled,No,,,,,0,,,,0,,,
1746,210552410199,21055241,Panel B,1,Yes,BEANS,,.5,Acre,No,,,,,4,50 kg bag,,Shelled,March,April,Yes,2,50 kg Bag,,S: Shelled,10000,1,2,0,30,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
1738,210552410301,21055241,Panel B,1,Yes,MAIZE HYBRID,,1.4,Acre,No,,,,,30,50 kg bag,,Shelled,May,May,No,,,,,,,,,5,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,4,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1738,210552410301,21055241,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,20,50 kg bag,,Shelled,May,May,No,,,,,,,,,5,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,25,Kilogram,,S: Shelled,0,,,,,,,,,Yes,Bags in house,,3,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1744,210552410353,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,210552410378,21055241,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,3,Pail (large),,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,Yes,12,Pail (large),,S: Shelled,0,,,,No,,,,,0,,,,1,50 kg Bag,,S: Shelled
1750,210552410404,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,210552410429,21055241,Panel B,1,Yes,MAIZE HYBRID,,2.5,Acre,No,,,,,80,50 kg bag,,Shelled,June,July,No,,,,,,,,,10,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,4,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1730,210552410480,21055241,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,210552410531,21055241,Panel B,1,Yes,MAIZE HYBRID,,.2,Acre,No,,,,,40,Kilogram,,Shelled,March,March,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,6,50 kg Bag,,S: Shelled,4,50 kg Bag,,S: Shelled,Yes,3,50 kg Bag,,S: Shelled,,,,,,,,
1749,210556930273,21055693,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,7,50 kg bag,,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,50 kg Bag,,S: Shelled,Yes,3,50 kg Bag,,S: Shelled,,,,,,,,
1753,210556930426,21055693,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,1,Other (specify),TON,,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,2,50 kg Bag,,S: Shelled,No,,,,,4,50 kg Bag,,S: Shelled,0,,,
1757,210556930609,21055693,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,210556930638,21055693,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,210556930789,21055693,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,10,50 kg bag,,Shelled,April,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,7,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,4,50 kg Bag,,S: Shelled,0,,,
1745,210556930881,21055693,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,27,50 kg bag,,Shelled,April,April,No,,,,,,,,,3,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,2,50 kg Bag,,S: Shelled,,Rotting,,,,Yes,Bags in house,,1,Pail (large),,,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1739,210556930960,21055693,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,210660960013,21066096,Panel B,1,Yes,BEANS,,5,Hectare,No,,,,,80,50 kg bag,,Shelled,April,April,Yes,75,50 kg Bag,,S: Shelled,450000,1,,0,3,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Food for household,,No,,,,,,,,,,,,,,,,,,,,,
1752,210660960013,21066096,Panel B,1,Yes,MAIZE HYBRID,,5,Hectare,No,,,,,160,50 kg bag,,Shelled,May,May,Yes,140,50 kg Bag,,S: Shelled,350000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,6,50 kg Bag,,S: Shelled,Spraying,,,,To sell at a higher price,,Food for household,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1752,210660960013,21066096,Panel B,1,Yes,IRISH [MALAWI] POTATO,,1.5,Hectare,No,,,,,6,Ox-cart,,Not applicable,May,May,Yes,6,Ox-cart,,Not Applicable,180000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
1774,210660960138,21066096,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,5,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,50 kg Bag,,S: Shelled,No,,,,,2,50 kg Bag,,S: Shelled,3,50 kg Bag,,S: Shelled
1756,210660960179,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,210660960303,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,210660960386,21066096,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,21,50 kg bag,,Shelled,May,May,Yes,10,50 kg Bag,,S: Shelled,20000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,4,50 kg Bag,,S: Shelled,0,,,
1780,210660960511,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,210660960593,21066096,Panel B,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,2,Ox-cart,,Unshelled,July,July,No,,,,,,,,,50,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,10,50 kg Bag,,S: Shelled,0,,,,Yes,0,,,,,,,,,,,
1760,210660960676,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,210660960718,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,210660960842,21066096,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,210663390033,21066339,Panel A,1,Yes,MAIZE HYBRID RECYCLED,,.5,Acre,No,,,,,4,50 kg bag,,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,5,50 kg Bag,,S: Shelled,No,,,,,3,50 kg Bag,,S: Shelled,0,,,
1781,210663390423,21066339,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,6,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,2,50 kg Bag,,S: Shelled,Yes,4,50 kg Bag,,S: Shelled,,,,,,,,
1761,210663390451,21066339,Panel A,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,1.5,Ox-cart,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,Yes,2,50 kg Bag,,S: Shelled,,,,,,,,
1769,210663390578,21066339,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,5,50 kg bag,,Shelled,May,May,No,,,,,,,,,1,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,50 kg Bag,,S: Shelled,Yes,3,50 kg Bag,,S: Shelled,,,,,,,,
1789,210663390682,21066339,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,10,50 kg bag,,Shelled,May,May,Yes,10,50 kg Bag,,S: Shelled,25000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,Yes,10,50 kg Bag,,S: Shelled,0,,,,Yes,2,50 kg Bag,,S: Shelled,,,,,,,,
1767,210663390754,21066339,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,12,50 kg bag,,Shelled,May,May,No,,,,,,,,,50,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,10,50 kg Bag,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
1773,210663390913,21066339,Panel A,1,Yes,MAIZE HYBRID,,3,Acre,No,,,,,4,Ox-cart,,Unshelled,April,April,Yes,20,50 kg Bag,,S: Shelled,36000,1,2,0,50,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,50,Kilogram,,S: Shelled,Yes,0,,,,,,,,,,,
1807,210745100075,21074510,Panel A,1,Yes,MAIZE LOCAL,,.25,Acre,No,,,,,2,50 kg bag,,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,2,Pail (large),,S: Shelled,2,50 kg Bag,,S: Shelled,Yes,1,50 kg Bag,,S: Shelled,,,,,,,,
1801,210745100501,21074510,Panel A,1,Yes,MAIZE HYBRID,,1.5,Acre,No,,,,,2,Ox-cart,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,2,50 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,0,,,
1795,210745100640,21074510,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,22,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,50 kg Bag,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,1,50 kg Bag,,S: Shelled,0,,,
1817,210745100885,21074510,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,210745100917,21074510,Panel A,1,Yes,MAIZE LOCAL,,2,Acre,No,,,,,16,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,7,50 kg Bag,,S: Shelled,No,,,,,5,50 kg Bag,,S: Shelled,2,50 kg Bag,,S: Shelled
1821,210745100948,21074510,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,2,Ox-cart,,Unshelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,1,50 kg Bag,,S: Shelled,4,50 kg Bag,,S: Shelled,No,,,,,3,50 kg Bag,,S: Shelled,2,50 kg Bag,,S: Shelled
1800,210777250033,21077725,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,210777250041,21077725,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,210777250058,21077725,Panel B,1,Yes,MAIZE HYBRID,,2.25,Acre,No,,,,,10,50 kg bag,,Shelled,April,April,No,,,,,,,,,4,90 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,15,Kilogram,,S: Shelled,0,,,,,,,,,Yes,Bags in house,,2,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1812,210777250058,21077725,Panel B,1,Yes,MAIZE LOCAL,,.25,Acre,No,,,,,2,50 kg bag,,Shelled,April,April,No,,,,,,,,,4,90 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,15,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
1786,210777250066,21077725,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,11,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,50 kg Bag,,S: Shelled,No,,,,,0,,,,0,,,
